epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2177,1.49491,3.49567,1.37941,0.76253,0.29694,0.3815,0.29787,1.37761,2.14145,1.25701,0.09703,3e-05,3e-05
2,86.9061,1.07399,1.32082,1.09699,0.84781,0.48593,0.57311,0.45016,1.08363,1.79183,1.07238,0.09307,6.99829e-05,6.99829e-05
3,129.177,0.90633,0.95635,0.98387,0.87505,0.58286,0.63175,0.50304,1.0351,1.53902,1.04048,0.0891099,0.000109893,0.000109893
4,171.391,0.87112,0.8201,0.96538,0.85147,0.73031,0.79839,0.67208,1.00246,1.38065,1.02193,0.0851497,0.00014967,0.00014967
5,213.918,0.87525,0.74877,0.95946,0.82478,0.75075,0.87124,0.7113,0.92414,1.27721,0.99116,0.0811893,0.000189258,0.000189258
6,256.177,0.84248,0.68876,0.94156,0.86055,0.79461,0.88309,0.69637,1.01984,1.3555,1.02368,0.0772286,0.000228598,0.000228598
7,297.765,0.83569,0.63171,0.93741,0.70457,0.88905,0.95073,0.77616,0.93202,2.05336,1.00413,0.0732676,0.000267633,0.000267633
8,339.548,0.83876,0.61804,0.94842,0.73421,0.88383,0.94982,0.76375,0.96278,1.83618,1.01543,0.0693063,0.000306304,0.000306304
9,381.161,0.79399,0.58168,0.93232,0.80459,0.87075,0.95227,0.80808,0.92957,2.00449,1.01345,0.0653446,0.000344557,0.000344557
10,423.134,0.78395,0.57586,0.91931,0.857,0.88297,0.94718,0.79793,0.93215,1.63719,1.01852,0.0613823,0.000382335,0.000382335
11,464.75,0.79052,0.54383,0.92052,0.78153,0.90023,0.9653,0.79902,0.96823,1.46487,1.03965,0.0574196,0.000419582,0.000419582
12,506.799,0.84029,0.57057,0.94141,0.79133,0.88654,0.95748,0.77195,0.96699,1.49102,1.02192,0.0534562,0.000456246,0.000456246
13,548.327,0.82913,0.51558,0.92857,0.77607,0.9174,0.96719,0.82095,0.8818,1.57016,1.00239,0.0494923,0.000492272,0.000492272
14,590.212,0.81512,0.51541,0.93195,0.74619,0.90421,0.96871,0.79551,0.95185,1.56419,1.01353,0.0455276,0.000527609,0.000527609
15,631.329,0.7874,0.50444,0.9285,0.77389,0.93951,0.9711,0.81196,0.9477,1.29901,1.014,0.0415622,0.000562205,0.000562205
16,672.865,0.79476,0.48476,0.90932,0.77389,0.93951,0.9711,0.81196,0.9477,1.29901,1.014,0.037596,0.00059601,0.00059601
17,715.708,0.7583,0.51395,0.90644,0.88789,0.90113,0.98896,0.81862,0.95094,1.07125,1.02428,0.033629,0.000628977,0.000628977
18,757.342,0.77378,0.52971,0.90912,0.838,0.95296,0.98394,0.82106,0.9196,1.18237,1.0024,0.0296611,0.000661058,0.000661058
19,798.721,0.82288,0.59014,0.92106,0.838,0.95296,0.98394,0.82106,0.9196,1.18237,1.0024,0.0256922,0.000692207,0.000692207
20,840.906,0.79229,0.55751,0.89855,0.87408,0.93879,0.97564,0.81791,0.9004,1.03766,0.99326,0.0217224,0.00072238,0.00072238
21,883.309,0.7644,0.52727,0.90572,0.95911,0.95542,0.97015,0.8034,0.92953,1.10468,0.99963,0.0177515,0.000751535,0.000751535
22,925.842,0.76346,0.49124,0.89822,0.95911,0.95542,0.97015,0.8034,0.92953,1.10468,0.99963,0.0137796,0.00077963,0.00077963
23,967.358,0.76411,0.4923,0.89584,0.94941,0.92358,0.97265,0.80331,0.95048,0.89499,1.00172,0.00980663,0.000806628,0.000806628
24,1010.12,0.76753,0.49956,0.90913,0.94941,0.92358,0.97265,0.80331,0.95048,0.89499,1.00172,0.00583249,0.00083249,0.00083249
