epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7357,2.68191,3.2579,2.43015,0.25238,0.35057,0.14562,0.06756,2.38234,17.8651,2.2352,0.0808828,0.000193103,0.000193103
2,23.5839,1.91346,1.91025,1.85107,0.17844,0.43899,0.19726,0.10489,2.00405,3.90702,2.05137,0.0610827,0.000393079,0.000393079
3,35.1245,1.7985,1.66908,1.76107,0.20817,0.40067,0.24032,0.11527,2.03097,3.04483,2.25285,0.0412826,0.000592959,0.000592959
4,46.5771,1.67306,1.52202,1.698,0.19729,0.43735,0.29101,0.1546,1.92761,1.74486,1.90469,0.0214823,0.000792668,0.000792668
5,58.0005,1.59408,1.44497,1.62522,0.49745,0.20039,0.20698,0.11374,2.117,5.18337,2.01443,0.00168179,0.000992133,0.000992133
6,69.0567,1.59099,1.42343,1.62618,0.5568,0.32557,0.3527,0.19928,1.79716,1.97756,1.87486,0.000998474,0.000998474,0.000998474
7,80.3781,1.52086,1.2985,1.57581,0.37181,0.53474,0.4238,0.24916,1.66813,1.60537,1.66217,0.000997803,0.000997803,0.000997803
8,91.7076,1.4883,1.23251,1.54385,0.49942,0.50303,0.47389,0.28145,1.5412,1.18426,1.56649,0.000997011,0.000997011,0.000997011
9,104.414,1.43149,1.19946,1.49016,0.56317,0.47234,0.50534,0.32701,1.48899,1.28737,1.51904,0.000996097,0.000996097,0.000996097
10,115.727,1.37599,1.13394,1.4814,0.59383,0.55005,0.568,0.29186,1.69501,1.12629,1.56555,0.000995062,0.000995062,0.000995062
11,126.791,1.36056,1.10458,1.45634,0.53093,0.64296,0.6131,0.38539,1.424,1.0243,1.47472,0.000993906,0.000993906,0.000993906
12,138.399,1.34855,1.05516,1.43738,0.63498,0.655,0.65179,0.40837,1.45454,0.99325,1.43184,0.000992629,0.000992629,0.000992629
13,149.751,1.37535,1.07024,1.45559,0.56051,0.62435,0.60549,0.39081,1.32672,1.02636,1.43279,0.000991232,0.000991232,0.000991232
14,160.902,1.30754,1.03616,1.39898,0.64668,0.65824,0.68627,0.46574,1.27544,0.91184,1.36603,0.000989715,0.000989715,0.000989715
15,172.237,1.2606,0.98662,1.37246,0.61245,0.71025,0.70932,0.45688,1.36327,0.89899,1.35898,0.000988079,0.000988079,0.000988079
16,183.311,1.23917,0.96073,1.36968,0.71674,0.66731,0.72747,0.49237,1.27407,0.85143,1.32477,0.000986323,0.000986323,0.000986323
17,194.64,1.2262,0.9267,1.35325,0.73377,0.66275,0.74091,0.49829,1.24556,0.83326,1.30504,0.000984449,0.000984449,0.000984449
18,205.934,1.2145,0.93252,1.34288,0.63426,0.67056,0.72977,0.47798,1.33051,0.87207,1.34075,0.000982456,0.000982456,0.000982456
19,217.011,1.21276,0.91648,1.31732,0.71591,0.67897,0.75156,0.55939,1.16192,0.86422,1.26181,0.000980345,0.000980345,0.000980345
20,228.314,1.17196,0.8874,1.32395,0.73931,0.71291,0.79843,0.57955,1.10673,0.76625,1.23375,0.000978118,0.000978118,0.000978118
21,239.619,1.13326,0.8497,1.27714,0.84087,0.65574,0.80432,0.57717,1.16156,0.74264,1.23811,0.000975773,0.000975773,0.000975773
22,250.934,1.16428,0.87083,1.30335,0.64837,0.68366,0.73547,0.53989,1.11286,0.77421,1.23698,0.000973312,0.000973312,0.000973312
23,262.082,1.12182,0.83148,1.28948,0.75585,0.76505,0.83835,0.58291,1.24983,0.76046,1.27207,0.000970736,0.000970736,0.000970736
24,273.479,1.09227,0.8006,1.26078,0.79204,0.77956,0.85422,0.59014,1.24023,0.74087,1.25473,0.000968045,0.000968045,0.000968045
25,284.88,1.08515,0.79957,1.24432,0.79148,0.79625,0.86589,0.66157,1.06673,0.68685,1.19358,0.000965239,0.000965239,0.000965239
26,296.284,1.08558,0.79096,1.23878,0.8179,0.80588,0.85988,0.65586,1.08393,0.67916,1.18746,0.00096232,0.00096232,0.00096232
27,307.646,1.07518,0.76071,1.23035,0.84267,0.77127,0.87541,0.65297,1.08419,0.65344,1.19127,0.000959289,0.000959289,0.000959289
28,318.884,1.12092,0.78601,1.27312,0.79729,0.82703,0.86225,0.66947,1.01274,0.65276,1.17639,0.000956145,0.000956145,0.000956145
29,330.766,1.06051,0.73381,1.21922,0.80252,0.83454,0.88602,0.69477,0.98193,0.62108,1.16121,0.000952889,0.000952889,0.000952889
30,342.441,1.05029,0.73642,1.21769,0.85884,0.78238,0.89847,0.68726,1.05324,0.65278,1.18556,0.000949524,0.000949524,0.000949524
31,353.78,0.99784,0.70436,1.19981,0.82338,0.82046,0.89157,0.69774,0.99135,0.64303,1.16874,0.000946048,0.000946048,0.000946048
32,365.763,0.98847,0.68593,1.184,0.88863,0.77248,0.90611,0.71297,0.95881,0.61342,1.14807,0.000942464,0.000942464,0.000942464
33,377.172,1.00248,0.69081,1.19103,0.90856,0.84642,0.92191,0.70872,0.99721,0.60645,1.14453,0.000938772,0.000938772,0.000938772
34,388.322,0.98686,0.6984,1.18995,0.85064,0.85785,0.89796,0.67025,1.02376,0.61662,1.15254,0.000934973,0.000934973,0.000934973
35,399.47,0.99184,0.68914,1.19222,0.84943,0.88959,0.92,0.65586,1.16732,0.62437,1.19814,0.000931067,0.000931067,0.000931067
36,410.723,0.97414,0.67161,1.16901,0.84504,0.90634,0.92994,0.69818,1.01822,0.59531,1.14416,0.000927057,0.000927057,0.000927057
37,421.943,0.98672,0.67494,1.18575,0.93377,0.8256,0.93347,0.72857,0.95949,0.57498,1.12221,0.000922942,0.000922942,0.000922942
38,433.432,0.98516,0.67735,1.16861,0.90846,0.88324,0.93416,0.72995,0.96669,0.57082,1.1025,0.000918725,0.000918725,0.000918725
39,444.817,0.95651,0.65084,1.16194,0.91016,0.85809,0.93747,0.73705,0.94973,0.55516,1.12027,0.000914405,0.000914405,0.000914405
40,456.211,0.93034,0.62784,1.1466,0.88469,0.86879,0.93646,0.70309,1.05742,0.57543,1.13144,0.000909984,0.000909984,0.000909984
41,467.405,0.93154,0.62176,1.14097,0.88877,0.84522,0.92759,0.75601,0.87453,0.5576,1.08013,0.000905463,0.000905463,0.000905463
42,479.128,0.90819,0.61323,1.12873,0.8794,0.86886,0.93288,0.75859,0.8901,0.55278,1.07789,0.000900844,0.000900844,0.000900844
43,490.821,0.92286,0.60641,1.13088,0.87697,0.88457,0.92749,0.72221,0.95823,0.54794,1.09918,0.000896127,0.000896127,0.000896127
44,502.069,0.91885,0.61856,1.13486,0.87459,0.89107,0.92505,0.75494,0.83437,0.51842,1.06012,0.000891313,0.000891313,0.000891313
45,513.198,0.8459,0.56829,1.09604,0.87669,0.91864,0.94235,0.75295,0.89358,0.51482,1.07789,0.000886404,0.000886404,0.000886404
46,524.56,0.85195,0.57487,1.10392,0.90521,0.88396,0.94305,0.73497,0.93115,0.52342,1.07172,0.000881401,0.000881401,0.000881401
47,535.629,0.86114,0.57074,1.09783,0.93319,0.88238,0.95008,0.74484,0.93337,0.52531,1.07467,0.000876305,0.000876305,0.000876305
48,546.699,0.86984,0.57906,1.11809,0.92574,0.89162,0.95016,0.77222,0.86315,0.49931,1.04383,0.000871117,0.000871117,0.000871117
49,558.088,0.8664,0.56491,1.10069,0.94489,0.86985,0.94906,0.78942,0.79676,0.49805,1.03786,0.000865839,0.000865839,0.000865839
50,569.454,0.85877,0.55401,1.09158,0.92175,0.87819,0.95087,0.76957,0.88332,0.5069,1.06421,0.000860473,0.000860473,0.000860473
51,580.674,0.8494,0.54796,1.09402,0.89805,0.89541,0.95656,0.77892,0.8942,0.49073,1.05656,0.000855018,0.000855018,0.000855018
52,594.259,0.84117,0.54407,1.08383,0.92373,0.92069,0.95634,0.79086,0.78051,0.47166,1.02877,0.000849477,0.000849477,0.000849477
53,605.869,0.84224,0.53834,1.10105,0.8736,0.9169,0.9535,0.79483,0.79758,0.48539,1.04484,0.000843851,0.000843851,0.000843851
54,617.551,0.84415,0.53045,1.07309,0.91519,0.90526,0.95684,0.77828,0.86391,0.48425,1.04153,0.000838141,0.000838141,0.000838141
55,628.68,0.8383,0.51745,1.07492,0.91239,0.91674,0.9567,0.75123,0.99239,0.49861,1.07474,0.000832349,0.000832349,0.000832349
56,639.802,0.81133,0.50897,1.05886,0.94238,0.88538,0.94601,0.78813,0.77293,0.47813,1.0264,0.000826477,0.000826477,0.000826477
57,650.956,0.78573,0.50325,1.0667,0.91348,0.90806,0.95639,0.80683,0.77588,0.47848,1.03247,0.000820525,0.000820525,0.000820525
58,662.576,0.78513,0.49424,1.06066,0.93622,0.92864,0.96904,0.81418,0.76194,0.44887,1.01099,0.000814495,0.000814495,0.000814495
59,674.03,0.7858,0.49804,1.05923,0.96463,0.92946,0.97259,0.81919,0.75548,0.43201,0.99729,0.000808389,0.000808389,0.000808389
60,685.486,0.78072,0.49619,1.05009,0.92127,0.95603,0.96494,0.8218,0.71554,0.43994,0.9947,0.000802208,0.000802208,0.000802208
61,697.438,0.74307,0.46929,1.03284,0.94804,0.93449,0.96132,0.82878,0.68668,0.42697,0.97406,0.000795954,0.000795954,0.000795954
62,709.825,0.74421,0.47826,1.02618,0.94733,0.96136,0.9767,0.80178,0.84352,0.45271,1.00115,0.000789628,0.000789628,0.000789628
63,721.257,0.76195,0.48983,1.04556,0.92193,0.93476,0.96624,0.80494,0.78623,0.44838,1.00627,0.000783231,0.000783231,0.000783231
64,732.644,0.74812,0.47495,1.03812,0.96128,0.92936,0.97705,0.83989,0.71122,0.41115,0.98353,0.000776766,0.000776766,0.000776766
65,745.001,0.74389,0.48321,1.04405,0.947,0.93925,0.97433,0.80939,0.78038,0.42862,0.99138,0.000770234,0.000770234,0.000770234
66,756.808,0.75133,0.47784,1.02886,0.91699,0.9687,0.97414,0.83879,0.72391,0.40688,0.98174,0.000763637,0.000763637,0.000763637
67,768.608,0.72333,0.45544,1.02416,0.9491,0.95607,0.97777,0.80792,0.80767,0.42567,0.99546,0.000756976,0.000756976,0.000756976
68,780.098,0.77137,0.48833,1.04016,0.93368,0.96148,0.97408,0.80278,0.75712,0.41477,0.99091,0.000750252,0.000750252,0.000750252
69,791.589,0.74424,0.46619,1.03758,0.95615,0.94928,0.97869,0.85139,0.66553,0.39639,0.97456,0.000743468,0.000743468,0.000743468
70,803.896,0.71096,0.45364,1.02681,0.95497,0.95633,0.97996,0.86128,0.68181,0.3872,0.97025,0.000736625,0.000736625,0.000736625
71,816.421,0.73447,0.45561,1.03026,0.96414,0.94975,0.97527,0.83468,0.68651,0.39952,0.96355,0.000729725,0.000729725,0.000729725
72,828.732,0.73266,0.45432,1.01708,0.9571,0.95654,0.98137,0.83536,0.72121,0.39708,0.97147,0.00072277,0.00072277,0.00072277
73,840.343,0.70881,0.4462,1.01223,0.97135,0.95757,0.97565,0.84412,0.66157,0.38892,0.95265,0.000715761,0.000715761,0.000715761
74,851.973,0.67415,0.42607,0.99487,0.97395,0.95043,0.98205,0.84684,0.67514,0.38554,0.95557,0.0007087,0.0007087,0.0007087
75,863.606,0.68122,0.43232,0.99839,0.97527,0.94747,0.98078,0.85342,0.66573,0.3777,0.95173,0.000701588,0.000701588,0.000701588
76,875.109,0.67103,0.43326,0.98812,0.97928,0.95491,0.98525,0.85843,0.61469,0.3695,0.93631,0.000694428,0.000694428,0.000694428
77,886.361,0.65252,0.41372,0.98271,0.97566,0.94767,0.98306,0.86975,0.63072,0.37153,0.95189,0.000687222,0.000687222,0.000687222
78,897.802,0.65583,0.42686,0.99376,0.94396,0.95694,0.98041,0.84587,0.70239,0.37975,0.96536,0.00067997,0.00067997,0.00067997
79,909.065,0.68036,0.42994,0.999,0.97384,0.93813,0.97952,0.84432,0.66415,0.37981,0.96144,0.000672675,0.000672675,0.000672675
80,920.373,0.66267,0.41533,0.98901,0.95904,0.97091,0.98751,0.83768,0.69278,0.36804,0.95037,0.000665339,0.000665339,0.000665339
81,931.676,0.69903,0.43716,0.99415,0.95904,0.95948,0.98099,0.85502,0.62025,0.3571,0.93698,0.000657963,0.000657963,0.000657963
82,943.767,0.65166,0.40688,0.98009,0.95545,0.96263,0.9803,0.86131,0.63666,0.35766,0.93864,0.00065055,0.00065055,0.00065055
83,955.357,0.67745,0.42988,0.99239,0.95529,0.9689,0.9829,0.86062,0.64519,0.3608,0.94067,0.000643101,0.000643101,0.000643101
84,966.873,0.64945,0.40803,0.98022,0.97742,0.95004,0.98448,0.86334,0.59946,0.36122,0.92849,0.000635617,0.000635617,0.000635617
85,978.74,0.63667,0.3997,0.97202,0.97217,0.96728,0.97889,0.86689,0.61608,0.36005,0.92777,0.000628101,0.000628101,0.000628101
86,990.315,0.63179,0.3994,0.9596,0.97617,0.96513,0.98303,0.87844,0.58552,0.34982,0.9252,0.000620555,0.000620555,0.000620555
87,1001.72,0.61758,0.38639,0.95932,0.97744,0.96778,0.98481,0.8812,0.57001,0.34328,0.91724,0.000612981,0.000612981,0.000612981
88,1013.14,0.59467,0.37506,0.94895,0.97845,0.9715,0.98854,0.87204,0.5851,0.33278,0.91647,0.00060538,0.00060538,0.00060538
89,1024.23,0.6048,0.38435,0.95335,0.97022,0.97065,0.98529,0.89213,0.5513,0.33589,0.91054,0.000597754,0.000597754,0.000597754
90,1036.63,0.62084,0.38438,0.96195,0.96485,0.97145,0.97969,0.89368,0.54653,0.33137,0.91405,0.000590105,0.000590105,0.000590105
91,1048.91,0.60762,0.38264,0.94953,0.96358,0.97363,0.98683,0.89768,0.53303,0.32247,0.90781,0.000582435,0.000582435,0.000582435
92,1061.7,0.58432,0.37677,0.94527,0.97264,0.96455,0.98459,0.87258,0.58516,0.33415,0.91305,0.000574746,0.000574746,0.000574746
93,1073.21,0.59008,0.37803,0.94238,0.97274,0.95206,0.98654,0.87316,0.63435,0.34869,0.92621,0.00056704,0.00056704,0.00056704
94,1084.54,0.59983,0.38018,0.9484,0.9762,0.96272,0.9858,0.86595,0.624,0.34218,0.92048,0.000559318,0.000559318,0.000559318
95,1095.86,0.5733,0.36156,0.93062,0.96271,0.96171,0.98378,0.85482,0.63939,0.34794,0.91431,0.000551584,0.000551584,0.000551584
96,1107.13,0.57278,0.37278,0.94346,0.97213,0.96806,0.98624,0.88242,0.55292,0.32809,0.90023,0.000543837,0.000543837,0.000543837
97,1118.33,0.59059,0.37359,0.93968,0.98508,0.97166,0.98995,0.90644,0.52547,0.31576,0.89679,0.000536081,0.000536081,0.000536081
98,1129.96,0.57041,0.36765,0.94212,0.97929,0.96236,0.9897,0.8889,0.57086,0.32716,0.90623,0.000528318,0.000528318,0.000528318
99,1141.35,0.57722,0.36623,0.94203,0.98433,0.95962,0.98959,0.87545,0.62078,0.33921,0.90838,0.000520548,0.000520548,0.000520548
100,1152.7,0.56457,0.36479,0.93796,0.97375,0.96808,0.9876,0.85651,0.64532,0.34259,0.9104,0.000512775,0.000512775,0.000512775
101,1164.01,0.56932,0.35641,0.93483,0.97531,0.97161,0.98805,0.85973,0.63905,0.33189,0.91531,0.000505,0.000505,0.000505
102,1177.5,0.55241,0.35513,0.93975,0.9834,0.96808,0.99103,0.88251,0.59391,0.31837,0.90103,0.000497225,0.000497225,0.000497225
103,1188.87,0.53693,0.34339,0.92029,0.97893,0.98165,0.99199,0.88716,0.52926,0.30674,0.8865,0.000489452,0.000489452,0.000489452
104,1201.89,0.58979,0.37323,0.94474,0.99269,0.95993,0.99023,0.8919,0.54158,0.31303,0.88963,0.000481682,0.000481682,0.000481682
105,1213.3,0.54088,0.34458,0.92489,0.99002,0.96022,0.98987,0.89415,0.51514,0.30188,0.88864,0.000473919,0.000473919,0.000473919
106,1226.49,0.53815,0.35147,0.92715,0.97351,0.97758,0.98933,0.88419,0.57668,0.31307,0.8932,0.000466163,0.000466163,0.000466163
107,1239.43,0.55406,0.35371,0.92717,0.97775,0.97001,0.9889,0.86996,0.59461,0.31645,0.89346,0.000458416,0.000458416,0.000458416
108,1250.87,0.52557,0.34057,0.91011,0.98778,0.96484,0.98845,0.89445,0.53822,0.30746,0.88645,0.000450682,0.000450682,0.000450682
109,1262.3,0.50672,0.33454,0.91226,0.9884,0.96485,0.98686,0.90935,0.49835,0.30456,0.88012,0.00044296,0.00044296,0.00044296
110,1274.46,0.49931,0.32781,0.90311,0.97664,0.96302,0.98908,0.92485,0.45585,0.28703,0.8722,0.000435254,0.000435254,0.000435254
111,1286.64,0.52328,0.34109,0.91215,0.96317,0.98262,0.98936,0.90279,0.50635,0.30244,0.87703,0.000427565,0.000427565,0.000427565
112,1298.78,0.52281,0.34023,0.91374,0.97423,0.9821,0.99182,0.90743,0.50218,0.29291,0.87919,0.000419895,0.000419895,0.000419895
113,1310.23,0.50374,0.32767,0.90648,0.97736,0.97482,0.99139,0.91353,0.49409,0.29085,0.87728,0.000412246,0.000412246,0.000412246
114,1321.64,0.50455,0.32506,0.91063,0.96906,0.97163,0.99088,0.91506,0.48197,0.29979,0.8771,0.00040462,0.00040462,0.00040462
115,1332.86,0.51683,0.3285,0.90934,0.96506,0.97855,0.99172,0.88877,0.55681,0.30504,0.87589,0.000397019,0.000397019,0.000397019
116,1344.01,0.52811,0.33418,0.91801,0.98915,0.96179,0.99064,0.91519,0.48475,0.28708,0.86711,0.000389445,0.000389445,0.000389445
117,1356.43,0.50731,0.32381,0.90906,0.98732,0.96536,0.99197,0.90099,0.53963,0.2922,0.87756,0.000381899,0.000381899,0.000381899
118,1367.79,0.51224,0.32918,0.91137,0.97853,0.98265,0.99239,0.90986,0.499,0.28263,0.87107,0.000374383,0.000374383,0.000374383
119,1379.97,0.53037,0.32854,0.90777,0.97383,0.97836,0.99142,0.91814,0.46236,0.28485,0.87144,0.000366899,0.000366899,0.000366899
120,1391.39,0.5112,0.3191,0.90451,0.98246,0.9767,0.99177,0.89874,0.54214,0.2957,0.87867,0.00035945,0.00035945,0.00035945
121,1402.69,0.49817,0.32426,0.89959,0.98351,0.97876,0.99188,0.89793,0.54016,0.29327,0.87891,0.000352037,0.000352037,0.000352037
122,1414.82,0.50852,0.32594,0.91072,0.99034,0.96622,0.99087,0.9109,0.49653,0.28249,0.86513,0.000344661,0.000344661,0.000344661
123,1426.37,0.51491,0.33681,0.92718,0.98539,0.9735,0.99157,0.90723,0.5298,0.29046,0.87679,0.000337325,0.000337325,0.000337325
124,1437.83,0.49136,0.32014,0.90767,0.99015,0.9597,0.9905,0.89912,0.55938,0.29855,0.89943,0.00033003,0.00033003,0.00033003
125,1449.4,0.47529,0.31321,0.89918,0.97099,0.97514,0.99183,0.91888,0.47364,0.2807,0.87134,0.000322778,0.000322778,0.000322778
126,1460.98,0.45387,0.30063,0.88824,0.9785,0.97358,0.98942,0.9157,0.47485,0.28279,0.86998,0.000315572,0.000315572,0.000315572
127,1472.55,0.47818,0.3135,0.89598,0.98396,0.96836,0.98857,0.91171,0.45907,0.27515,0.86601,0.000308412,0.000308412,0.000308412
