epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03013,1.59161,3.86979,1.45838,0.63304,0.30553,0.4166,0.28978,1.31973,3.00383,1.26453,0.09307,7e-05,7e-05
2,7.05651,1.14815,1.46764,1.1393,0.83392,0.49273,0.68351,0.48345,1.27834,3.47873,1.19846,0.08515,0.000149963,0.000149963
3,11.0096,1.02102,1.12516,1.03989,0.61528,0.72293,0.66863,0.50597,1.02885,10.3401,1.07131,0.0772298,0.000229775,0.000229775
4,14.8621,1.02661,0.87391,1.035,0.72443,0.86846,0.9116,0.67653,1.1757,2.33391,1.12456,0.0693093,0.000309319,0.000309319
5,18.5884,0.99408,0.83521,1.0072,0.85505,0.93336,0.95611,0.75371,0.9963,1.51007,1.02474,0.0613885,0.000388478,0.000388478
6,22.3306,1.07323,0.9515,1.06517,0.78426,0.89982,0.92473,0.70811,1.06795,1.29678,1.08564,0.0534671,0.000467136,0.000467136
7,25.7247,1.00706,0.79942,1.03132,0.83749,0.92661,0.96534,0.71344,1.19411,1.28802,1.11944,0.0455452,0.000545178,0.000545178
8,29.0587,0.98758,0.73527,0.99041,0.85416,0.83606,0.95808,0.73272,1.03635,1.56253,1.16265,0.0376225,0.00062249,0.00062249
9,32.4579,1.1097,0.80194,1.07011,0.75884,0.91638,0.95672,0.71501,1.09729,1.29984,1.02396,0.029699,0.000698959,0.000698959
10,36.245,0.98076,0.71921,1.02108,0.79365,0.98208,0.95206,0.71884,1.20086,1.62647,1.17103,0.0217745,0.000774473,0.000774473
11,39.4809,0.97853,0.75757,1.00439,0.9388,0.82291,0.98163,0.75653,1.03571,0.9706,1.07119,0.0138489,0.000848922,0.000848922
12,43.2655,0.93029,0.71723,0.98606,0.85607,0.97216,0.96023,0.74002,1.05927,1.17547,1.06027,0.0059222,0.000922199,0.000922199
13,46.5726,0.91592,0.71141,1.00494,0.84133,0.96214,0.96127,0.70307,1.20725,0.9383,1.17277,0.000965239,0.000965239,0.000965239
14,49.8331,0.97179,0.75438,1.03055,0.87564,0.95422,0.9893,0.72512,1.11615,1.15143,1.10239,0.000959289,0.000959289,0.000959289
15,53.1856,0.94314,0.6829,0.98335,0.93856,0.9879,0.99142,0.77521,0.97642,1.03626,1.02983,0.000952889,0.000952889,0.000952889
16,56.7305,0.94454,0.70003,1.02405,0.90739,0.95872,0.98067,0.77558,1.0166,1.01848,1.08264,0.000946048,0.000946048,0.000946048
17,59.9817,0.95841,0.64903,1.00909,0.89998,0.97461,0.98976,0.73942,1.15094,0.99512,1.06369,0.000938772,0.000938772,0.000938772
18,63.2344,0.92826,0.63006,0.98416,0.92961,0.95771,0.99336,0.81289,0.92803,0.79482,0.99527,0.000931067,0.000931067,0.000931067
19,66.8119,0.89175,0.62864,0.99127,0.97129,0.96842,0.9944,0.80469,0.98273,0.64752,0.99494,0.000922942,0.000922942,0.000922942
20,70.1013,0.88775,0.62301,0.95852,0.91031,0.89314,0.98939,0.78723,1.06227,0.7601,1.00499,0.000914405,0.000914405,0.000914405
21,73.4038,0.85632,0.58311,0.96016,0.93595,0.94679,0.98905,0.79575,0.94561,0.60172,0.98985,0.000905463,0.000905463,0.000905463
22,76.9184,0.90084,0.60156,0.97636,0.93472,0.86364,0.97717,0.79574,0.9429,0.69834,1.00049,0.000896127,0.000896127,0.000896127
23,80.2771,0.8977,0.57613,0.97805,0.90529,0.96227,0.98558,0.79527,0.9442,0.63285,0.98549,0.000886404,0.000886404,0.000886404
24,83.5929,0.93147,0.66019,1.01152,0.95756,0.96571,0.99378,0.77781,1.02032,0.62851,0.99825,0.000876305,0.000876305,0.000876305
25,86.8518,0.8942,0.57626,0.98286,0.93389,0.95294,0.98867,0.76913,1.00741,0.62241,1.00379,0.000865839,0.000865839,0.000865839
26,90.1496,0.87147,0.56056,0.96702,0.91578,0.96763,0.97841,0.77169,1.00386,0.61234,1.00773,0.000855018,0.000855018,0.000855018
27,93.3955,0.87381,0.54069,0.9837,0.97131,0.9718,0.99417,0.80928,0.94906,0.55514,1.00044,0.000843851,0.000843851,0.000843851
28,96.623,0.85718,0.55879,0.96991,0.97685,0.98489,0.9943,0.81649,0.89213,0.54703,0.98346,0.000832349,0.000832349,0.000832349
29,100.18,0.92021,0.68163,0.99798,0.9726,0.99113,0.99363,0.80665,0.8295,0.47389,0.94291,0.000820525,0.000820525,0.000820525
30,103.538,0.85231,0.55686,0.96517,0.96785,0.98365,0.99272,0.80847,0.82626,0.47017,0.94504,0.000808389,0.000808389,0.000808389
31,106.859,0.78516,0.50694,0.92857,0.96794,0.98201,0.99391,0.80513,0.87799,0.4665,0.95137,0.000795954,0.000795954,0.000795954
32,110.331,0.82544,0.52263,0.95131,0.91501,0.9457,0.98337,0.80733,0.85184,0.61358,0.9675,0.000783231,0.000783231,0.000783231
33,113.585,0.79607,0.50185,0.93089,0.90898,0.89553,0.96825,0.78219,0.91242,0.70816,0.98772,0.000770234,0.000770234,0.000770234
34,116.862,0.82222,0.51923,0.9534,0.93844,0.93954,0.98024,0.79463,0.95859,0.64013,0.98818,0.000756976,0.000756976,0.000756976
35,120.071,0.83854,0.5152,0.95183,0.91981,0.89418,0.97829,0.82445,0.83186,0.67164,0.96616,0.000743468,0.000743468,0.000743468
36,124.256,0.80596,0.49924,0.95536,0.93528,0.98607,0.99368,0.84012,0.81913,0.47769,0.94513,0.000729725,0.000729725,0.000729725
37,127.814,0.80988,0.49209,0.94094,0.97493,0.9845,0.99386,0.79114,1.03218,0.4765,0.99442,0.000715761,0.000715761,0.000715761
