epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4409,2.15956,2.20142,2.10294,0.44412,0.48374,0.39261,0.23139,1.85478,1.64038,1.80285,0.0804571,0.000197403,0.000197403
2,39.1847,1.60975,1.35233,1.66157,0.41975,0.53335,0.50332,0.27189,1.79915,1.44468,1.78884,0.060657,0.000397306,0.000397306
3,58.234,1.48895,1.2393,1.56165,0.65464,0.49748,0.55994,0.35462,1.61245,1.26921,1.62115,0.0408566,0.000596819,0.000596819
4,77.1205,1.41002,1.1238,1.5066,0.61629,0.62307,0.65137,0.41191,1.59924,1.1508,1.55543,0.0210554,0.000795651,0.000795651
5,95.9917,1.40115,1.04404,1.47757,0.65836,0.68337,0.70001,0.41207,1.64926,1.1044,1.5703,0.00125325,0.00099351,0.00099351
6,115.06,1.33131,0.99323,1.43211,0.75366,0.6028,0.73345,0.50602,1.38759,1.02762,1.42832,0.000993906,0.000993906,0.000993906
7,133.805,1.25052,0.94829,1.38077,0.7045,0.6928,0.76315,0.5151,1.27784,0.9324,1.37496,0.000991232,0.000991232,0.000991232
8,152.663,1.24915,0.9132,1.35839,0.70445,0.70349,0.73767,0.52431,1.33772,0.91414,1.37875,0.000988079,0.000988079,0.000988079
9,171.368,1.16046,0.84999,1.3081,0.81933,0.64917,0.80894,0.56048,1.26323,0.82281,1.3491,0.000984449,0.000984449,0.000984449
10,190.063,1.1321,0.81724,1.29648,0.73935,0.75388,0.80871,0.53728,1.43869,0.84541,1.38777,0.000980345,0.000980345,0.000980345
11,209.186,1.10854,0.78491,1.27293,0.80184,0.78638,0.84814,0.60467,1.31357,0.78759,1.37137,0.000975773,0.000975773,0.000975773
12,228.052,1.067,0.7462,1.25071,0.84715,0.75738,0.87427,0.64433,1.19576,0.73738,1.26655,0.000970736,0.000970736,0.000970736
13,246.756,1.05025,0.7155,1.23519,0.80904,0.8073,0.87086,0.6544,1.11033,0.73433,1.24484,0.000965239,0.000965239,0.000965239
14,265.506,1.03514,0.69688,1.22207,0.84936,0.84082,0.89754,0.66448,1.17928,0.69715,1.25076,0.000959289,0.000959289,0.000959289
15,284.266,1.00771,0.67921,1.19183,0.85897,0.84427,0.91184,0.67925,1.1772,0.67476,1.24896,0.000952889,0.000952889,0.000952889
16,303.022,0.97743,0.66346,1.18667,0.88353,0.82792,0.9157,0.67318,1.23041,0.65801,1.28666,0.000946048,0.000946048,0.000946048
17,321.524,0.96941,0.637,1.17297,0.85793,0.84521,0.90521,0.72698,1.01937,0.62729,1.20907,0.000938772,0.000938772,0.000938772
18,340.25,0.94509,0.62453,1.15944,0.85646,0.87616,0.92288,0.72662,1.03807,0.62757,1.187,0.000931067,0.000931067,0.000931067
19,358.978,0.92596,0.6038,1.1556,0.89354,0.86665,0.93437,0.70697,1.14061,0.62875,1.20643,0.000922942,0.000922942,0.000922942
20,377.406,0.93176,0.59587,1.15357,0.90771,0.8672,0.93851,0.69859,1.16073,0.58924,1.22651,0.000914405,0.000914405,0.000914405
21,395.878,0.89548,0.57193,1.12841,0.91883,0.86798,0.94828,0.7423,1.02781,0.58967,1.18651,0.000905463,0.000905463,0.000905463
22,414.924,0.86732,0.55017,1.10333,0.91992,0.88117,0.9537,0.75871,0.95262,0.54095,1.12259,0.000896127,0.000896127,0.000896127
23,433.831,0.84277,0.5281,1.0978,0.94097,0.88603,0.96254,0.77662,0.93439,0.52387,1.10414,0.000886404,0.000886404,0.000886404
24,452.912,0.82051,0.51184,1.08639,0.94836,0.90451,0.96976,0.80322,0.91342,0.50282,1.09673,0.000876305,0.000876305,0.000876305
25,471.796,0.80426,0.50183,1.08099,0.90114,0.90224,0.95642,0.80304,0.84118,0.51637,1.06317,0.000865839,0.000865839,0.000865839
26,490.553,0.80663,0.50364,1.06956,0.93397,0.89314,0.96463,0.78969,0.86747,0.51043,1.05516,0.000855018,0.000855018,0.000855018
27,509.249,0.77882,0.49149,1.06098,0.96123,0.92766,0.97638,0.805,0.85512,0.47583,1.05341,0.000843851,0.000843851,0.000843851
28,528.256,0.76711,0.48306,1.04553,0.94869,0.92145,0.97257,0.81345,0.83182,0.46216,1.07882,0.000832349,0.000832349,0.000832349
29,547.185,0.77426,0.48691,1.04811,0.95308,0.93047,0.97689,0.80823,0.84247,0.45696,1.04003,0.000820525,0.000820525,0.000820525
30,565.889,0.74221,0.46525,1.03526,0.9551,0.91975,0.97406,0.80627,0.84701,0.47482,1.05525,0.000808389,0.000808389,0.000808389
31,584.592,0.7122,0.44329,1.01942,0.95959,0.93455,0.97906,0.83153,0.81109,0.43453,1.0363,0.000795954,0.000795954,0.000795954
32,603.96,0.72053,0.4468,1.02068,0.93533,0.95206,0.97615,0.82324,0.80426,0.43686,1.04416,0.000783231,0.000783231,0.000783231
33,622.909,0.72828,0.43939,1.01978,0.93129,0.94857,0.97241,0.81632,0.85954,0.47225,1.06556,0.000770234,0.000770234,0.000770234
34,642.117,0.71412,0.43901,1.01401,0.96741,0.92378,0.97631,0.84497,0.77988,0.43734,1.02851,0.000756976,0.000756976,0.000756976
35,662.075,0.69934,0.43081,1.00796,0.9483,0.94337,0.97805,0.83574,0.7861,0.43331,1.02613,0.000743468,0.000743468,0.000743468
36,680.951,0.67129,0.42245,0.9969,0.95302,0.95122,0.97718,0.86118,0.71689,0.42253,0.99584,0.000729725,0.000729725,0.000729725
37,700.854,0.65016,0.40557,0.98368,0.95294,0.95308,0.98248,0.83653,0.80997,0.43499,1.03321,0.000715761,0.000715761,0.000715761
38,720.129,0.64612,0.40574,0.9816,0.97352,0.94794,0.98527,0.85231,0.76205,0.39768,1.00003,0.000701588,0.000701588,0.000701588
39,739.111,0.6271,0.38693,0.97579,0.96737,0.96108,0.98343,0.85728,0.71766,0.38577,1.02267,0.000687222,0.000687222,0.000687222
40,758.076,0.64014,0.39192,0.97016,0.96749,0.95224,0.97628,0.8587,0.67822,0.38676,0.97983,0.000672675,0.000672675,0.000672675
41,777.304,0.64685,0.39953,0.9808,0.97288,0.95038,0.98212,0.86649,0.67685,0.39945,0.98288,0.000657963,0.000657963,0.000657963
42,797.048,0.62267,0.38812,0.96792,0.95748,0.96477,0.98345,0.88136,0.67253,0.39006,0.9731,0.000643101,0.000643101,0.000643101
43,816.099,0.60467,0.38107,0.95876,0.94655,0.98199,0.98347,0.88296,0.66004,0.36983,0.96429,0.000628101,0.000628101,0.000628101
44,836.427,0.59235,0.37116,0.95954,0.97431,0.94343,0.98243,0.88015,0.64988,0.37227,0.96788,0.000612981,0.000612981,0.000612981
45,855.865,0.56409,0.35562,0.94248,0.99015,0.94024,0.98688,0.86686,0.69112,0.3627,0.96005,0.000597754,0.000597754,0.000597754
46,875.448,0.57581,0.36479,0.94476,0.95919,0.96314,0.98702,0.8767,0.64416,0.35506,0.95334,0.000582435,0.000582435,0.000582435
47,894.739,0.57095,0.35858,0.94241,0.97649,0.95029,0.9867,0.8888,0.60925,0.34763,0.9467,0.00056704,0.00056704,0.00056704
48,913.912,0.53695,0.34341,0.92722,0.9673,0.96054,0.98805,0.89966,0.60212,0.34739,0.93944,0.000551584,0.000551584,0.000551584
49,933.02,0.54614,0.34309,0.92822,0.99339,0.95046,0.98074,0.88115,0.64131,0.36386,0.94756,0.000536081,0.000536081,0.000536081
50,952.344,0.54918,0.34945,0.93252,0.98898,0.96301,0.9871,0.89508,0.63838,0.34936,0.939,0.000520548,0.000520548,0.000520548
51,971.619,0.54685,0.34143,0.93184,0.98264,0.96465,0.98416,0.9023,0.60662,0.35013,0.94599,0.000505,0.000505,0.000505
52,992.663,0.52462,0.3318,0.9232,0.9761,0.962,0.98874,0.8968,0.58442,0.34223,0.9239,0.000489452,0.000489452,0.000489452
53,1012.15,0.52552,0.33304,0.92038,0.98641,0.95587,0.98917,0.89598,0.5843,0.33507,0.91982,0.000473919,0.000473919,0.000473919
54,1031.61,0.51738,0.32879,0.9149,0.96937,0.97448,0.98647,0.87628,0.64985,0.3503,0.94039,0.000458416,0.000458416,0.000458416
55,1051.11,0.49935,0.31967,0.90862,0.97646,0.97547,0.98859,0.89849,0.54508,0.32086,0.90679,0.00044296,0.00044296,0.00044296
56,1070.62,0.50792,0.32388,0.91267,0.97798,0.9655,0.9859,0.88741,0.64022,0.34692,0.93758,0.000427565,0.000427565,0.000427565
57,1089.8,0.50567,0.31965,0.90961,0.98589,0.96593,0.98732,0.90805,0.56877,0.32342,0.91671,0.000412246,0.000412246,0.000412246
58,1109.79,0.50435,0.31752,0.91105,0.97999,0.96887,0.989,0.90676,0.57722,0.32101,0.91331,0.000397019,0.000397019,0.000397019
59,1128.83,0.48504,0.30771,0.9043,0.98,0.96558,0.98822,0.9102,0.53487,0.30961,0.90384,0.000381899,0.000381899,0.000381899
60,1148.9,0.47234,0.30739,0.89355,0.962,0.97595,0.98828,0.9152,0.5371,0.31003,0.91534,0.000366899,0.000366899,0.000366899
61,1168.89,0.46085,0.30174,0.8924,0.98295,0.96027,0.98978,0.91993,0.53611,0.3104,0.90586,0.000352037,0.000352037,0.000352037
62,1189.39,0.47123,0.30713,0.89587,0.98793,0.95528,0.98954,0.9155,0.55409,0.31782,0.90882,0.000337325,0.000337325,0.000337325
63,1207.96,0.47738,0.3075,0.89853,0.96747,0.98421,0.99031,0.92604,0.51436,0.29829,0.91731,0.000322778,0.000322778,0.000322778
64,1226.76,0.45895,0.29889,0.89235,0.97174,0.96931,0.98818,0.91695,0.54617,0.31284,0.92767,0.000308412,0.000308412,0.000308412
65,1245.29,0.45203,0.29674,0.89185,0.98881,0.96716,0.99029,0.92571,0.52195,0.3021,0.90177,0.000294239,0.000294239,0.000294239
66,1263.76,0.46433,0.30293,0.90033,0.97783,0.98512,0.99085,0.93679,0.48147,0.29009,0.88912,0.000280275,0.000280275,0.000280275
67,1282.52,0.44245,0.28928,0.88676,0.97316,0.97853,0.99003,0.92631,0.49899,0.28601,0.89592,0.000266532,0.000266532,0.000266532
68,1302.13,0.45743,0.29775,0.89263,0.9875,0.96496,0.99003,0.92498,0.49159,0.2803,0.91513,0.000253024,0.000253024,0.000253024
69,1322.32,0.45435,0.29819,0.89488,0.99023,0.9594,0.98943,0.9223,0.50538,0.28849,0.88864,0.000239766,0.000239766,0.000239766
70,1341.32,0.42098,0.28189,0.87848,0.98821,0.95901,0.9888,0.91964,0.51039,0.29743,0.89432,0.000226769,0.000226769,0.000226769
71,1360.44,0.42214,0.2796,0.87959,0.98854,0.96427,0.98968,0.93778,0.4691,0.28002,0.89268,0.000214046,0.000214046,0.000214046
72,1381.1,0.41273,0.27272,0.87661,0.97728,0.97633,0.98978,0.94293,0.47078,0.27766,0.89665,0.000201611,0.000201611,0.000201611
73,1401.1,0.41318,0.27493,0.87176,0.9853,0.96145,0.98744,0.93682,0.46746,0.27913,0.88273,0.000189475,0.000189475,0.000189475
74,1420.21,0.39901,0.26897,0.86939,0.9768,0.97386,0.98859,0.93873,0.46417,0.2847,0.88133,0.000177651,0.000177651,0.000177651
75,1439.22,0.39378,0.26793,0.86716,0.98756,0.96018,0.98868,0.94105,0.45812,0.27701,0.87844,0.000166149,0.000166149,0.000166149
76,1458.21,0.40622,0.27234,0.87568,0.98125,0.96567,0.98826,0.93181,0.47797,0.29076,0.87699,0.000154982,0.000154982,0.000154982
77,1477.22,0.38194,0.25835,0.86128,0.98746,0.96377,0.98971,0.93666,0.45656,0.272,0.88601,0.000144161,0.000144161,0.000144161
78,1496.2,0.38962,0.26533,0.86652,0.98603,0.97016,0.98987,0.94046,0.45375,0.2694,0.87119,0.000133695,0.000133695,0.000133695
