epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.839,2.14144,4.29038,2.30398,0,0,0,0,1.60408,4.89601,2.14217,0.000105,0.000105,0.000105
2,201.129,1.49605,3.63513,1.65405,0,0,0,0,1.38365,4.504,1.80311,0.000210743,0.000210743,0.000210743
3,302.464,1.19774,2.91822,1.42349,0.21818,0.0763,0.14497,0.11991,1.10445,3.44066,1.40097,0.00031213,0.00031213,0.00031213
4,409.31,1.14782,2.41288,1.37757,0.36364,0.13636,0.25873,0.21244,1.06538,3.13839,1.35603,0.000409161,0.000409161,0.000409161
5,508.49,1.07593,2.07073,1.32201,0.50536,0.72727,0.61472,0.47879,1.04765,2.5903,1.33652,0.0004604,0.0004604,0.0004604
6,613.496,0.92407,1.83188,1.20618,0.59045,0.66288,0.62147,0.49915,1.05397,2.23759,1.35291,0.0004505,0.0004505,0.0004505
7,712.99,0.96415,1.68689,1.24103,0.64847,0.74977,0.71562,0.62104,0.85953,2.18476,1.08622,0.0004406,0.0004406,0.0004406
8,813.47,0.92767,1.63078,1.20833,0.84897,0.81881,0.81884,0.66742,1.06402,2.03858,1.22333,0.0004307,0.0004307,0.0004307
9,927.542,0.80389,1.43793,1.14141,0.78604,0.81749,0.84432,0.73181,0.8776,1.82842,1.18259,0.0004208,0.0004208,0.0004208
10,1117.38,0.81865,1.4426,1.13828,0.79398,0.81817,0.86966,0.74262,0.84244,1.82237,1.18749,0.0004109,0.0004109,0.0004109
11,1229.28,0.75415,1.25014,1.10198,0.88257,0.8331,0.8645,0.73725,0.83368,1.52625,1.1983,0.000401,0.000401,0.000401
12,1332.13,0.7189,1.24173,1.07579,0.85317,0.79869,0.79401,0.70093,0.82611,1.69538,1.13664,0.0003911,0.0003911,0.0003911
13,1434.6,0.67543,1.16,1.04917,0.87215,0.85338,0.8722,0.76059,0.69878,1.57778,0.94996,0.0003812,0.0003812,0.0003812
14,1540.43,0.71786,1.17133,1.08378,0.84584,0.86842,0.87791,0.79903,0.67568,1.45839,0.93276,0.0003713,0.0003713,0.0003713
15,1653.92,0.6635,1.13439,1.0729,0.81771,0.8579,0.86218,0.75745,0.73851,1.51551,0.98376,0.0003614,0.0003614,0.0003614
16,1761.43,0.61767,1.08195,1.04691,0.86312,0.87286,0.87335,0.78347,0.59844,1.46332,0.86037,0.0003515,0.0003515,0.0003515
17,1860.05,0.61357,1.0186,1.03383,0.87945,0.88291,0.89818,0.78792,0.69174,1.36875,1.00258,0.0003416,0.0003416,0.0003416
18,1973.11,0.64647,1.01504,1.05319,0.89192,0.87059,0.88188,0.80615,0.62341,1.23079,0.88926,0.0003317,0.0003317,0.0003317
19,2086.89,0.60438,0.97829,1.04167,0.89317,0.84187,0.88625,0.82689,0.59967,1.23301,0.83474,0.0003218,0.0003218,0.0003218
20,2198.35,0.56888,0.92176,1.01286,0.87517,0.89078,0.89224,0.83815,0.47542,1.15256,0.76804,0.0003119,0.0003119,0.0003119
21,2316.74,0.56119,0.91149,1.00948,0.88986,0.89015,0.88847,0.79501,0.65196,1.34384,0.93761,0.000302,0.000302,0.000302
22,2434.27,0.59422,0.91602,1.02526,0.90896,0.87808,0.89507,0.83334,0.55473,1.22402,0.84176,0.0002921,0.0002921,0.0002921
23,2555.8,0.54508,0.88205,0.99769,0.8749,0.87435,0.88684,0.80462,0.62937,1.07784,0.89742,0.0002822,0.0002822,0.0002822
24,2674.42,0.54431,0.87883,0.99518,0.88625,0.87374,0.88359,0.81056,0.62395,1.07335,0.92841,0.0002723,0.0002723,0.0002723
25,2792.51,0.55351,0.86042,1.00525,0.90451,0.8912,0.90296,0.84539,0.52251,1.04098,0.78702,0.0002624,0.0002624,0.0002624
26,2954.45,0.54451,0.83061,0.99596,0.92786,0.89404,0.91648,0.8455,0.52982,1.04088,0.81827,0.0002525,0.0002525,0.0002525
27,3215.68,0.53082,0.8318,0.99205,0.93488,0.89181,0.90893,0.83587,0.51807,1.00837,0.8367,0.0002426,0.0002426,0.0002426
28,3312.52,0.49676,0.8053,0.98233,0.94431,0.89936,0.91442,0.86294,0.48658,0.93742,0.76728,0.0002327,0.0002327,0.0002327
29,3410.6,0.53317,0.80213,0.97813,0.95918,0.89899,0.92419,0.87006,0.43328,0.95428,0.73358,0.0002228,0.0002228,0.0002228
30,4135.11,0.47529,0.7419,0.95177,0.93635,0.91162,0.92769,0.86967,0.45826,0.93951,0.76212,0.0002129,0.0002129,0.0002129
31,5223.23,0.49664,0.79078,0.97772,0.93661,0.8936,0.92018,0.8666,0.43248,0.9176,0.74187,0.000203,0.000203,0.000203
32,5415.45,0.48481,0.7672,0.95999,0.92363,0.90909,0.92789,0.87266,0.45059,0.95232,0.73916,0.0001931,0.0001931,0.0001931
33,5703.43,0.5022,0.75365,0.98952,0.93643,0.91435,0.92419,0.8728,0.40727,0.85181,0.71721,0.0001832,0.0001832,0.0001832
34,6691.28,0.45413,0.71378,0.94076,0.9826,0.9,0.92877,0.8777,0.4455,0.89802,0.73705,0.0001733,0.0001733,0.0001733
35,7324.76,0.44953,0.69611,0.9519,0.93568,0.91541,0.93542,0.8741,0.42523,0.86867,0.72935,0.0001634,0.0001634,0.0001634
36,7421.64,0.44627,0.67247,0.96662,0.91561,0.93687,0.93101,0.88533,0.39636,0.81104,0.70854,0.0001535,0.0001535,0.0001535
37,7516.1,0.44873,0.72509,0.95953,0.93335,0.90404,0.92385,0.8828,0.41162,0.81767,0.72374,0.0001436,0.0001436,0.0001436
38,7611.32,0.46072,0.68241,0.95056,0.92884,0.92331,0.93165,0.87347,0.42431,0.81577,0.72093,0.0001337,0.0001337,0.0001337
39,7706.55,0.41539,0.66245,0.94237,0.939,0.91902,0.92765,0.88189,0.37868,0.81092,0.69627,0.0001238,0.0001238,0.0001238
40,7801.67,0.40924,0.66787,0.9318,0.96626,0.91373,0.93403,0.88621,0.36605,0.77824,0.6996,0.0001139,0.0001139,0.0001139
41,7895.85,0.37588,0.84015,0.94043,0.94355,0.92929,0.93854,0.87864,0.44729,0.97169,0.75798,0.000104,0.000104,0.000104
42,7990.14,0.33508,0.79967,0.91123,0.94973,0.93107,0.93831,0.89338,0.40186,0.81663,0.70338,9.41e-05,9.41e-05,9.41e-05
43,8084.1,0.35139,0.73487,0.93186,0.94348,0.93622,0.93944,0.8895,0.39169,0.87774,0.70304,8.42e-05,8.42e-05,8.42e-05
44,8183.86,0.3101,0.72843,0.89594,0.96183,0.92644,0.94361,0.89565,0.37486,0.83033,0.69317,7.43e-05,7.43e-05,7.43e-05
45,8299.82,0.28363,0.68664,0.88799,0.965,0.92272,0.93954,0.88806,0.36916,0.77638,0.67416,6.44e-05,6.44e-05,6.44e-05
46,8852.68,0.27865,0.6811,0.88044,0.97202,0.92107,0.94083,0.89582,0.35699,0.77618,0.66722,5.45e-05,5.45e-05,5.45e-05
47,11406.2,0.29249,0.68853,0.86924,0.95331,0.92349,0.94031,0.89971,0.33719,0.76788,0.65817,4.46e-05,4.46e-05,4.46e-05
48,12701.3,0.26922,0.6593,0.86868,0.95924,0.92588,0.9463,0.90189,0.33207,0.78147,0.65793,3.47e-05,3.47e-05,3.47e-05
49,12806.8,0.27537,0.64911,0.86616,0.96078,0.92514,0.9471,0.90367,0.32082,0.75482,0.6504,2.48e-05,2.48e-05,2.48e-05
