epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35331,2.36341,4.40176,2.77019,0,0,0,0,2.78358,3.75655,3.65315,2e-05,2e-05,2e-05
2,7.75739,2.40725,4.50405,2.83976,0,0,0,0,2.455,3.71448,3.1671,4.4989e-05,4.4989e-05,4.4989e-05
3,9.87294,2.05138,4.24925,2.4886,0,0,0,0,1.9347,3.68951,2.54933,6.99316e-05,6.99316e-05,6.99316e-05
4,11.3775,1.68434,4.14516,2.16055,0,0,0,0,1.78984,3.67522,2.29538,9.47913e-05,9.47913e-05,9.47913e-05
5,12.5082,1.47307,4.03117,1.8774,0.03306,0.05195,0.05924,0.03554,1.59569,3.6588,1.98377,0.000119532,0.000119532,0.000119532
6,13.5784,1.34544,3.8875,1.71881,0.02448,0.09091,0.07057,0.0394,1.63174,3.61139,1.98571,0.000144116,0.000144116,0.000144116
7,14.98,1.24705,3.74895,1.68268,0.11762,0.31818,0.19273,0.12852,1.33605,3.4946,1.71171,0.000168509,0.000168509,0.000168509
8,16.0068,1.11446,3.44071,1.51381,0.07282,0.65152,0.3663,0.20985,1.24131,3.46149,1.65286,0.000192675,0.000192675,0.000192675
9,17.0358,1.13431,3.33378,1.60901,0.09562,0.78788,0.3554,0.13358,1.78685,3.54113,2.04479,0.000216579,0.000216579,0.000216579
10,17.8693,1.07307,3.06832,1.49505,0.05656,0.78788,0.35523,0.2218,1.42197,3.33989,1.71435,0.000240185,0.000240185,0.000240185
11,18.8423,0.98975,2.98962,1.38783,0.57275,0.32525,0.54162,0.43214,1.13802,3.05753,1.37023,0.000263459,0.000263459,0.000263459
12,19.5919,0.98263,2.88623,1.40081,0.97238,0.09091,0.46314,0.34568,1.16968,2.99381,1.3611,0.000286367,0.000286367,0.000286367
13,20.3769,1.01241,2.68709,1.37508,0.96916,0.09091,0.49766,0.38653,1.14253,2.98526,1.34955,0.000308877,0.000308877,0.000308877
14,21.2039,0.88736,2.54914,1.30321,0.96052,0.09091,0.53372,0.45693,0.94338,2.73585,1.19751,0.000330955,0.000330955,0.000330955
15,22.0718,0.8943,2.43044,1.31226,0.93488,0.15152,0.55684,0.42777,1.23207,2.85709,1.48815,0.000352569,0.000352569,0.000352569
16,22.8848,0.84278,2.3151,1.26448,0.84926,0.15152,0.50192,0.36584,1.17615,2.75531,1.42857,0.000373689,0.000373689,0.000373689
17,23.6392,0.97843,2.29362,1.30565,0.73214,0.33942,0.57076,0.49736,1.00639,2.58629,1.21857,0.000394284,0.000394284,0.000394284
18,24.349,0.96325,2.14959,1.2577,0.77227,0.26363,0.53169,0.43454,1.1712,2.52949,1.30133,0.000414325,0.000414325,0.000414325
19,25.0714,0.76903,2.12303,1.22131,0.85877,0.30585,0.63847,0.52077,1.19506,2.3515,1.35231,0.000433783,0.000433783,0.000433783
20,26.0134,0.7664,2.03096,1.17396,0.68425,0.65152,0.68009,0.5462,1.05979,1.75351,1.2658,0.00045263,0.00045263,0.00045263
21,26.7346,0.79439,1.98545,1.17944,0.73397,0.65152,0.67111,0.53528,1.1161,1.56781,1.255,0.000452732,0.000452732,0.000452732
22,27.4468,0.64627,1.69476,1.16754,0.74792,0.63342,0.68206,0.54875,1.08154,1.35466,1.221,0.000448063,0.000448063,0.000448063
23,28.2187,0.76678,1.83789,1.16682,0.72468,0.65152,0.67431,0.53801,1.12304,1.24997,1.30385,0.000443202,0.000443202,0.000443202
24,28.9058,0.76183,1.6989,1.1795,0.72522,0.65152,0.78842,0.67561,0.96424,1.29666,1.11171,0.000438152,0.000438152,0.000438152
25,29.7035,0.74501,1.69129,1.13881,0.83946,0.69697,0.81565,0.65429,1.04495,1.10259,1.16871,0.00043292,0.00043292,0.00043292
26,30.4151,0.63697,1.48998,1.13046,0.89502,0.69697,0.82003,0.60221,1.28676,1.23041,1.44589,0.000427509,0.000427509,0.000427509
27,31.1603,0.66177,1.47382,1.13302,0.78861,0.81671,0.84405,0.59024,1.29434,1.17336,1.41491,0.000421925,0.000421925,0.000421925
28,31.8986,0.64619,1.53805,1.15475,0.84572,0.72406,0.79519,0.68642,0.99108,0.9977,1.20195,0.000416175,0.000416175,0.000416175
