epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.80498,2.08912,4.04693,2.25457,0.00127,0.20455,0.03561,0.00855,2.14762,3.68003,2.65621,0.07921,0.00021,0.00021
2,11.1678,1.33598,2.98166,1.53276,0.55743,0.08442,0.16251,0.06881,1.84852,3.69677,2.5021,0.05743,0.000429953,0.000429953
3,16.182,1.16281,2.4301,1.42078,0.5317,0.3539,0.42926,0.27922,1.28338,3.15828,1.51183,0.0356497,0.000649718,0.000649718
4,20.5856,1.12402,2.03771,1.34355,0.51913,0.45971,0.50762,0.33583,1.30088,3.11201,1.49918,0.0138692,0.00086915,0.00086915
5,25.5918,1.1281,1.90678,1.33214,0.61923,0.45058,0.47431,0.24773,1.677,7.83894,1.83023,0.000998264,0.000998264,0.000998264
6,30.0258,1.01897,1.72935,1.27851,0.63485,0.7297,0.68423,0.50203,1.22137,2.81746,1.37675,0.000997288,0.000997288,0.000997288
7,34.9971,1.03352,1.62822,1.28619,0.81904,0.59168,0.7324,0.5298,1.2466,2.51404,1.45546,0.000996097,0.000996097,0.000996097
8,39.3737,0.98186,1.50808,1.23086,0.76094,0.67545,0.73502,0.5619,1.19283,1.51216,1.36789,0.00099469,0.00099469,0.00099469
9,43.7076,0.9512,1.43878,1.23281,0.57426,0.75082,0.67231,0.5159,1.10133,1.98476,1.27795,0.000993068,0.000993068,0.000993068
10,48.4086,0.94735,1.43625,1.23828,0.64567,0.70929,0.77488,0.58913,1.1834,1.66188,1.35405,0.000991232,0.000991232,0.000991232
11,53.2908,0.91448,1.33895,1.21139,0.60997,0.60707,0.71896,0.54453,1.18047,1.92838,1.23311,0.000989183,0.000989183,0.000989183
12,57.972,0.89828,1.29537,1.20406,0.65482,0.80832,0.76712,0.61054,1.13872,1.92289,1.2391,0.000986922,0.000986922,0.000986922
13,62.3458,0.94737,1.30863,1.23279,0.65726,0.78036,0.70011,0.55353,0.97596,1.27883,1.08922,0.000984449,0.000984449,0.000984449
14,66.9063,0.87023,1.2616,1.1954,0.55273,0.55873,0.56292,0.24284,2.22901,3.62267,2.84544,0.000981765,0.000981765,0.000981765
15,71.3347,0.87645,1.24546,1.18868,0.76358,0.69562,0.77498,0.6232,0.84485,1.32074,1.07157,0.000978873,0.000978873,0.000978873
16,75.5346,0.89369,1.23703,1.22793,0.69364,0.80745,0.78992,0.59081,1.15135,0.99682,1.40993,0.000975773,0.000975773,0.000975773
17,80.0218,0.86643,1.13876,1.16436,0.82498,0.76185,0.8191,0.66814,0.96728,0.92058,1.12497,0.000972466,0.000972466,0.000972466
18,84.8784,0.78309,1.06971,1.12509,0.80625,0.68502,0.71208,0.53718,1.07271,1.14967,1.24986,0.000968955,0.000968955,0.000968955
19,89.3116,0.76644,1.11319,1.13372,0.75731,0.72343,0.82739,0.60968,1.13331,1.06641,1.2661,0.000965239,0.000965239,0.000965239
20,94.0096,0.79796,1.08219,1.13849,0.66946,0.77566,0.74618,0.51418,1.39314,1.18788,1.60975,0.000961322,0.000961322,0.000961322
21,98.2455,0.79897,1.05484,1.11906,0.67369,0.7923,0.78504,0.68431,0.86723,0.80081,1.06508,0.000957205,0.000957205,0.000957205
22,102.668,0.79963,1.04115,1.14066,0.72489,0.84242,0.86615,0.74482,0.90268,0.9071,1.02846,0.000952889,0.000952889,0.000952889
23,107.274,0.78659,0.99552,1.13519,0.74374,0.81636,0.87701,0.7011,0.88162,0.78196,1.06353,0.000948377,0.000948377,0.000948377
24,111.93,0.75051,0.96355,1.10923,0.7784,0.82898,0.88017,0.70015,0.95195,0.80163,1.10036,0.000943671,0.000943671,0.000943671
25,116.541,0.75536,0.90801,1.08673,0.80905,0.80252,0.86568,0.72009,0.87111,0.76244,1.04448,0.000938772,0.000938772,0.000938772
26,121.189,0.71774,0.9155,1.07936,0.81419,0.84641,0.86482,0.73182,0.91323,0.76185,1.0194,0.000933683,0.000933683,0.000933683
27,125.792,0.69203,0.83977,1.07149,0.83318,0.85037,0.88837,0.75742,0.7719,0.76284,0.91983,0.000928405,0.000928405,0.000928405
28,131.023,0.72626,0.86636,1.08479,0.93311,0.79152,0.89268,0.79156,0.71508,0.64408,0.91118,0.000922942,0.000922942,0.000922942
29,135.76,0.73476,0.87749,1.08871,0.85755,0.8394,0.8924,0.7816,0.68351,0.62132,0.88961,0.000917296,0.000917296,0.000917296
30,140.399,0.68079,0.79731,1.06421,0.80916,0.87037,0.90469,0.76921,0.75718,0.63683,0.93226,0.000911469,0.000911469,0.000911469
31,145.211,0.69784,0.84815,1.08689,0.84569,0.85453,0.89679,0.77033,0.67888,0.60459,0.88771,0.000905463,0.000905463,0.000905463
32,149.972,0.70726,0.84087,1.09855,0.88151,0.8743,0.8892,0.77679,0.67433,0.73317,0.8848,0.000899282,0.000899282,0.000899282
33,154.491,0.67011,0.79102,1.06386,0.95194,0.8422,0.90372,0.74978,0.76338,0.67035,0.99649,0.000892928,0.000892928,0.000892928
34,158.884,0.71973,0.81547,1.07987,0.86058,0.87051,0.90416,0.75082,0.92162,0.64044,1.06039,0.000886404,0.000886404,0.000886404
35,163.284,0.67769,0.80906,1.07266,0.97024,0.8441,0.92231,0.81433,0.74578,0.55785,0.92332,0.000879713,0.000879713,0.000879713
36,167.642,0.69054,0.75864,1.09177,0.96671,0.85247,0.91399,0.82848,0.57643,0.50841,0.80659,0.000872857,0.000872857,0.000872857
37,172.175,0.7008,0.74334,1.0561,0.93272,0.85912,0.91189,0.82465,0.62998,0.53188,0.8423,0.000865839,0.000865839,0.000865839
38,176.84,0.66315,0.72118,1.05434,0.92775,0.85887,0.91206,0.79507,0.71655,0.54681,0.90527,0.000858664,0.000858664,0.000858664
39,181.215,0.70035,0.77731,1.08139,0.93456,0.86677,0.92668,0.76217,0.87757,0.55939,0.9552,0.000851333,0.000851333,0.000851333
40,185.83,0.65314,0.71504,1.06337,0.91362,0.87453,0.92273,0.77633,0.66074,0.58988,0.8776,0.000843851,0.000843851,0.000843851
41,190.392,0.66805,0.74371,1.0582,0.87353,0.88523,0.92717,0.77957,0.64443,0.51958,0.87869,0.00083622,0.00083622,0.00083622
42,195.091,0.67611,0.70529,1.04961,0.90128,0.86711,0.93619,0.75129,0.78826,0.60706,0.96524,0.000828443,0.000828443,0.000828443
