epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.55136,3.38579,3.52786,2.49759,0.00294,0.22727,0.02499,0.00459,3.7483,2.40032,2.34205,0.094018,1.8e-05,1.8e-05
2,12.7536,2.58506,2.62803,1.91189,0.84707,0.20779,0.27546,0.13885,2.07103,1.85647,1.33973,0.087039,3.89957e-05,3.89957e-05
3,17.2983,1.68783,1.66903,1.32125,0.71444,0.45891,0.45155,0.13814,3.02839,2.01939,1.59898,0.08006,5.99738e-05,5.99738e-05
4,22.0619,1.7977,1.26847,1.24463,0.62772,0.14286,0.25794,0.03913,5.30898,2.1624,3.36424,0.0730809,8.09205e-05,8.09205e-05
5,26.5992,1.2768,1.10607,1.05515,0.1154,0.27273,0.1509,0.0299,4.67713,1.72256,2.85223,0.0661018,0.000101822,0.000101822
6,30.6453,1.2528,1.0766,0.94974,0.65801,0.37243,0.39356,0.23507,2.69802,1.73456,1.47075,0.0591227,0.000122665,0.000122665
7,34.8386,1.00589,0.87123,0.89034,0.6909,0.46873,0.51844,0.36578,1.97139,2.12224,1.27248,0.0521434,0.000143435,0.000143435
8,39.4211,1.1389,0.82425,0.88908,0.69845,0.65699,0.81648,0.5751,1.80357,2.04448,1.19398,0.0451641,0.000164119,0.000164119
9,43.6028,0.92571,0.75771,0.78343,0.88495,0.56061,0.80369,0.62411,1.40865,2.03754,0.9574,0.0381847,0.000184704,0.000184704
10,48.3,0.85597,0.69534,0.80966,0.90312,0.6794,0.83975,0.6359,1.55537,0.88576,0.89348,0.0312052,0.000205176,0.000205176
11,52.8149,0.79943,0.66094,0.75161,0.58821,0.72727,0.84918,0.68519,1.36805,0.83671,0.82309,0.0242255,0.000225521,0.000225521
12,57.0495,0.83635,0.56195,0.78531,0.70442,0.67677,0.71235,0.53001,1.84852,1.0103,1.17361,0.0172457,0.000245727,0.000245727
13,61.0141,1.1846,0.65809,0.90466,0.70652,0.76768,0.78428,0.58148,1.93932,2.07304,1.12864,0.0102658,0.00026578,0.00026578
14,65.1407,1.06513,0.72662,0.85922,0.7321,0.81818,0.82759,0.68549,1.5053,1.20316,0.887,0.00328567,0.000285667,0.000285667
15,69.1229,0.96969,0.67828,0.81599,0.85805,0.78008,0.84631,0.65789,1.64903,0.85932,1.10021,0.00029363,0.00029363,0.00029363
16,73.0549,1.05221,0.65169,0.79258,0.91815,0.74626,0.88107,0.70087,1.50653,0.72104,0.96292,0.000292695,0.000292695,0.000292695
17,77.6442,0.80181,0.48428,0.74734,0.83488,0.86364,0.88392,0.70993,1.31772,0.69276,0.78134,0.000291698,0.000291698,0.000291698
18,81.8795,0.90433,0.55096,0.77404,0.73659,0.77843,0.84214,0.70547,1.30949,1.32435,0.73365,0.000290639,0.000290639,0.000290639
19,85.8362,0.71306,0.45439,0.67581,0.73203,0.74242,0.8518,0.71197,1.40513,0.87804,0.79057,0.000289519,0.000289519,0.000289519
20,89.9363,0.65707,0.58236,0.68922,0.88692,0.78788,0.82992,0.69412,1.29128,0.64796,0.75335,0.000288338,0.000288338,0.000288338
21,93.8637,1.03208,0.71729,0.93768,0.80539,0.78788,0.83135,0.69788,1.25455,0.63272,0.74632,0.000287097,0.000287097,0.000287097
22,97.7879,0.54879,0.43573,0.62138,0.80826,0.78788,0.82878,0.70899,1.42448,0.7871,0.8606,0.000285795,0.000285795,0.000285795
23,101.983,0.6393,0.40203,0.68859,0.71578,0.69911,0.83661,0.60376,1.87044,1.36746,1.24965,0.000284435,0.000284435,0.000284435
24,105.89,0.78563,0.58714,0.69989,0.78807,0.77273,0.83666,0.64317,1.99506,1.14278,1.36742,0.000283016,0.000283016,0.000283016
25,109.849,0.66526,0.47929,0.70393,0.67882,0.83333,0.82993,0.54724,2.24189,0.83772,1.50927,0.000281539,0.000281539,0.000281539
26,113.936,0.57401,0.41771,0.65115,0.87871,0.77489,0.82862,0.52646,2.22086,0.82499,1.49304,0.000280004,0.000280004,0.000280004
27,117.957,0.6935,0.46174,0.69715,0.92093,0.69697,0.80735,0.54939,1.9317,0.94777,1.2525,0.000278413,0.000278413,0.000278413
28,121.851,0.62343,0.49495,0.69291,0.83825,0.64926,0.8006,0.5711,2.01587,1.22328,1.26947,0.000276766,0.000276766,0.000276766
29,125.963,0.58634,0.55322,0.66139,0.75539,0.74765,0.78752,0.60855,1.75479,0.88616,1.19527,0.000275063,0.000275063,0.000275063
30,129.873,0.57094,0.49646,0.6599,0.80367,0.78788,0.78774,0.6526,1.43352,0.80091,0.97292,0.000273307,0.000273307,0.000273307
31,133.84,0.57391,0.37907,0.63865,0.88432,0.78788,0.83481,0.74214,1.18975,0.63669,0.76542,0.000271496,0.000271496,0.000271496
32,138.432,0.66297,0.39811,0.66648,0.84116,0.79232,0.84994,0.75367,1.49014,0.73984,0.95594,0.000269632,0.000269632,0.000269632
33,142.557,0.59829,0.42263,0.63901,0.88287,0.79088,0.84641,0.66457,1.67377,0.78173,1.05558,0.000267716,0.000267716,0.000267716
34,146.479,0.62826,0.43492,0.66593,0.92318,0.79158,0.84253,0.68279,1.56225,0.6118,1.05502,0.000265749,0.000265749,0.000265749
35,150.629,0.75481,0.60616,0.67482,0.88151,0.79868,0.83818,0.69241,1.44647,0.55116,0.96296,0.000263732,0.000263732,0.000263732
36,154.579,0.51612,0.3494,0.63687,0.73306,0.80723,0.8373,0.67582,1.59432,0.57081,1.01687,0.000261664,0.000261664,0.000261664
37,158.511,0.52224,0.4339,0.61938,0.93858,0.79622,0.83426,0.63676,1.64482,0.50312,1.0351,0.000259549,0.000259549,0.000259549
38,162.563,0.62596,0.43998,0.6656,0.95637,0.79563,0.84722,0.6347,1.60499,0.56649,1.02575,0.000257385,0.000257385,0.000257385
39,166.385,0.66104,0.39657,0.72288,0.94304,0.81224,0.88275,0.67097,1.58027,0.56292,0.86835,0.000255175,0.000255175,0.000255175
40,170.34,0.59978,0.43835,0.65249,0.95271,0.80274,0.88489,0.68266,1.60476,0.54476,0.86231,0.000252919,0.000252919,0.000252919
41,175.41,0.65667,0.46032,0.64368,0.96835,0.80041,0.88108,0.6812,1.71611,0.58187,0.99158,0.000250618,0.000250618,0.000250618
42,179.363,0.57329,0.4085,0.62246,0.96639,0.80436,0.86978,0.64146,1.80462,0.66161,1.23102,0.000248273,0.000248273,0.000248273
43,183.334,0.60359,0.52674,0.66799,0.91014,0.82064,0.86176,0.65691,1.82165,0.94431,1.18884,0.000245886,0.000245886,0.000245886
44,187.515,0.58706,0.36637,0.64365,0.85621,0.83975,0.88835,0.71454,1.571,0.67147,1.02134,0.000243456,0.000243456,0.000243456
45,191.491,0.5471,0.38345,0.64304,0.86589,0.83563,0.88965,0.71737,1.56092,0.57112,1.02459,0.000240986,0.000240986,0.000240986
46,195.382,0.53362,0.39266,0.62394,0.90652,0.84221,0.91301,0.72229,1.55061,0.5058,1.07255,0.000238477,0.000238477,0.000238477
47,200.406,0.49363,0.33198,0.60611,0.96079,0.84238,0.96324,0.72415,1.54759,0.45997,1.0588,0.000235929,0.000235929,0.000235929
48,204.353,0.48772,0.25823,0.61494,0.96372,0.84354,0.94613,0.76262,1.4446,0.44529,0.98569,0.000233344,0.000233344,0.000233344
49,208.558,0.39864,0.27478,0.58384,0.83996,0.87441,0.94143,0.78087,1.2892,0.45491,0.88014,0.000230722,0.000230722,0.000230722
50,212.99,0.45979,0.27761,0.59989,0.85755,0.8516,0.93319,0.78677,1.30684,0.5208,0.91558,0.000228066,0.000228066,0.000228066
51,218.312,0.73009,0.43839,0.72447,0.88858,0.83167,0.89665,0.74221,1.31904,0.63134,0.91601,0.000225375,0.000225375,0.000225375
52,222.25,0.65723,0.32951,0.69944,0.86411,0.85622,0.91808,0.77152,1.23168,0.45754,0.8459,0.000222652,0.000222652,0.000222652
53,226.413,0.44982,0.28277,0.60841,0.74558,0.9273,0.93044,0.79123,1.24475,0.5141,0.86385,0.000219897,0.000219897,0.000219897
54,230.602,0.42557,0.27407,0.59367,0.86427,0.8575,0.87729,0.75262,1.31696,0.99471,0.86853,0.000217112,0.000217112,0.000217112
55,234.537,0.51957,0.33253,0.61826,0.93845,0.78939,0.90071,0.74902,1.30622,0.64778,0.86512,0.000214298,0.000214298,0.000214298
56,238.679,0.48521,0.29068,0.61185,0.94473,0.83301,0.92673,0.77107,1.35745,0.55892,0.85758,0.000211455,0.000211455,0.000211455
57,242.64,0.42567,0.26041,0.60678,0.92904,0.81315,0.94515,0.74142,1.48511,0.54365,0.87613,0.000208587,0.000208587,0.000208587
58,246.575,0.40507,0.21607,0.60832,0.81808,0.88176,0.95687,0.70953,1.63165,0.53615,0.91559,0.000205693,0.000205693,0.000205693
59,250.787,0.52439,0.30584,0.59619,0.9188,0.8708,0.94582,0.73326,1.41981,0.46691,0.81097,0.000202774,0.000202774,0.000202774
60,254.688,0.40383,0.26484,0.59445,0.86589,0.90482,0.94361,0.75501,1.37129,0.48831,0.77706,0.000199833,0.000199833,0.000199833
61,258.574,0.47058,0.34322,0.61214,0.90369,0.91603,0.94919,0.75589,1.41993,0.51792,0.77275,0.000196871,0.000196871,0.000196871
62,263.197,0.43786,0.28054,0.62257,0.88871,0.89838,0.94856,0.70546,1.71079,0.66857,0.88035,0.000193888,0.000193888,0.000193888
63,267.104,0.51983,0.33568,0.6541,0.91235,0.89954,0.94831,0.70137,1.72661,0.55079,0.90208,0.000190886,0.000190886,0.000190886
64,271.103,0.50295,0.59014,0.59326,0.94639,0.81692,0.93699,0.74806,1.45748,0.49227,0.8117,0.000187867,0.000187867,0.000187867
65,275.312,0.41581,0.26787,0.62082,0.95494,0.81564,0.9347,0.7451,1.38035,0.47605,0.80526,0.000184831,0.000184831,0.000184831
66,279.211,0.43301,0.26643,0.62702,0.95662,0.81373,0.92999,0.74184,1.38459,0.49369,0.83204,0.000181781,0.000181781,0.000181781
67,283.099,0.40735,0.27721,0.60434,0.91927,0.81372,0.92653,0.71421,1.48264,0.51007,0.90139,0.000178717,0.000178717,0.000178717
68,288.122,0.49627,0.34378,0.63911,0.94651,0.81361,0.92695,0.71294,1.46624,0.5031,0.92203,0.00017564,0.00017564,0.00017564
69,292.093,0.47703,0.24392,0.60532,0.89682,0.85947,0.93107,0.73642,1.43825,0.48108,0.89406,0.000172553,0.000172553,0.000172553
70,296.063,0.49746,0.30344,0.64608,0.90992,0.86995,0.93615,0.73093,1.47153,0.45339,0.89589,0.000169456,0.000169456,0.000169456
71,300.231,0.39193,0.25843,0.59092,0.92741,0.87295,0.94226,0.75277,1.42826,0.45328,0.88973,0.000166351,0.000166351,0.000166351
72,304.197,0.30611,0.16663,0.54329,0.92742,0.89907,0.947,0.75773,1.40379,0.47365,0.86329,0.000163239,0.000163239,0.000163239
73,308.081,0.53402,0.28418,0.61233,0.92698,0.89376,0.94867,0.76755,1.35875,0.43234,0.84788,0.000160121,0.000160121,0.000160121
