epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72743,2.60681,6.00217,3.55046,0.008,0.14935,0.00792,0.00254,3.21207,3.88324,4.60053,0.09403,3e-05,3e-05
2,12.8509,1.84433,4.23325,2.68248,0.879,0.15152,0.21407,0.08402,2.4536,3.18305,2.71351,0.087065,6.49929e-05,6.49929e-05
3,17.6767,1.42679,2.94137,2.03531,0.61945,0.35281,0.41507,0.15937,2.16561,3.89616,2.49378,0.0801,9.99566e-05,9.99566e-05
4,22.5067,1.54211,2.83515,2.00304,0.52905,0.24242,0.28386,0.12609,2.03574,2.87109,2.51261,0.0731349,0.000134868,0.000134868
5,26.8177,1.4229,2.28362,1.89973,0.45997,0.51515,0.56497,0.13226,2.83665,2.8244,3.4007,0.0661697,0.000169705,0.000169705
6,30.7991,1.38556,2.17543,1.94298,0.45359,0.45708,0.49369,0.29449,2.06619,5.91012,2.16096,0.0592044,0.000204444,0.000204444
7,35.0745,1.30655,1.80939,1.73103,0.54012,0.56061,0.56597,0.29785,2.26858,53.819,3.91324,0.0522391,0.000239063,0.000239063
8,39.4093,0.93398,1.7186,1.48497,0.21271,0.33333,0.29047,0.18532,1.82776,inf,2.41585,0.0452735,0.00027354,0.00027354
9,43.5638,1.35489,2.0799,1.85398,0.54455,0.36364,0.38148,0.19224,2.34975,inf,3.96327,0.0383079,0.000307851,0.000307851
10,47.6416,1.24512,2.12263,1.73226,0.61595,0.58444,0.50406,0.31245,1.82183,100.256,2.31718,0.031342,0.000341975,0.000341975
11,52.1134,1.11584,1.68794,1.57273,0.67164,0.62606,0.61582,0.3943,1.69437,46.3362,2.10071,0.0243759,0.00037589,0.00037589
12,56.7861,1.05435,1.88435,1.52486,0.3157,0.78283,0.63845,0.42163,1.70058,9.23663,2.95913,0.0174096,0.000409572,0.000409572
13,61.366,0.96882,1.54269,1.53222,0.49184,0.51276,0.5399,0.34185,1.62843,9.25349,2.47702,0.010443,0.000443002,0.000443002
14,65.4774,1.17074,1.49541,1.75765,0.53361,0.78788,0.57142,0.45745,1.39984,9.42376,2.10817,0.00347616,0.000476156,0.000476156
15,69.8922,1.17701,1.65753,1.64579,0.52717,0.69697,0.70893,0.55668,1.37798,19.227,2.05931,0.000489437,0.000489437,0.000489437
16,74.1795,1.15882,1.53204,1.63197,0.56827,0.58443,0.69519,0.43157,1.8574,21.6719,3.00534,0.000487886,0.000487886,0.000487886
17,78.3788,1.06775,1.46039,1.56381,0.42035,0.72727,0.63498,0.45069,1.30156,13.7249,1.91291,0.000486233,0.000486233,0.000486233
18,82.5629,0.95453,1.23344,1.45293,0.51035,0.72727,0.6792,0.53498,1.13437,24.0864,1.69243,0.000484477,0.000484477,0.000484477
19,86.7171,1.07601,1.45908,1.46562,0.7964,0.34952,0.6052,0.3255,2.12871,13.2866,2.35439,0.00048262,0.00048262,0.00048262
20,90.8863,0.95555,1.35639,1.46722,0.41778,0.41342,0.59512,0.23633,2.67217,7.30399,2.94274,0.000480661,0.000480661,0.000480661
21,95.0429,0.97596,1.27222,1.4495,0.33073,0.4329,0.45528,0.17834,2.71502,4.51632,3.5698,0.000478603,0.000478603,0.000478603
22,99.5877,1.14117,1.46719,1.64669,0.34654,0.41943,0.48915,0.22546,2.24815,7.28972,2.94142,0.000476445,0.000476445,0.000476445
23,103.777,0.99434,1.16769,1.47925,0.41978,0.62137,0.62598,0.38604,1.99808,6.97047,2.95034,0.000474189,0.000474189,0.000474189
24,107.894,0.95381,1.24721,1.39635,0.6816,0.57576,0.62649,0.5029,1.26577,7.3342,1.56719,0.000471835,0.000471835,0.000471835
25,111.907,0.99392,1.12056,1.42093,0.86513,0.43939,0.62973,0.42559,1.64107,3.02799,2.50811,0.000469386,0.000469386,0.000469386
26,115.827,0.84169,1.1021,1.3524,0.67163,0.61345,0.72842,0.50811,1.59042,3.28532,2.79181,0.000466841,0.000466841,0.000466841
27,119.657,0.94145,1.30736,1.39626,0.7103,0.81313,0.73779,0.51582,1.527,6.91671,2.29,0.000464203,0.000464203,0.000464203
28,123.518,0.91252,1.24146,1.44361,0.49361,0.84848,0.64714,0.4382,1.6483,7.23799,2.51963,0.000461471,0.000461471,0.000461471
29,127.413,1.10054,1.72537,1.70695,0.53083,0.71977,0.63311,0.38051,1.93294,3.7899,3.15452,0.000458648,0.000458648,0.000458648
30,131.28,1.08129,1.28777,1.61864,0.67104,0.74242,0.66963,0.41468,1.89873,3.32725,2.84273,0.000455734,0.000455734,0.000455734
