epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7415,0.90699,22.636,0.80417,0,0,0,0,0,32.5567,0,1e-05,1e-05,1e-05
2,32.6238,3.4056,4.67533,2.70374,0,0,0,0,0,27.3017,0,2.47525e-05,2.47525e-05,2.47525e-05
3,49.3785,2.83179,5.81293,2.44506,0,0,0,0,0,23.6967,0,3.9208e-05,3.9208e-05,3.9208e-05
4,65.8826,0,22.2552,0,0,0,0,0,0,18.8794,0,5.33665e-05,5.33665e-05,5.33665e-05
5,83.0948,1.01535,15.6287,0.87794,0,0,0,0,0,18.8794,0,6.7228e-05,6.7228e-05,6.7228e-05
6,100.022,2.99381,4.42161,2.27193,0,0,0,0,0,19.6306,0,8.07925e-05,8.07925e-05,8.07925e-05
7,116.441,2.68225,4.69966,2.23573,0,0,0,0,0,19.6306,0,9.406e-05,9.406e-05,9.406e-05
8,133.181,1.92323,9.68351,1.64655,0,0,0,0,0,19.6306,0,0.000107031,0.000107031,0.000107031
9,149.807,0.91646,14.6054,0.70627,0,0,0,0,0,18.4423,0,0.000119704,0.000119704,0.000119704
10,165.974,0.73374,15.2751,0.80141,0,0,0,0,0,18.4423,0,0.000132081,0.000132081,0.000132081
11,182.484,2.21408,9.54837,1.43752,0,0,0,0,0,18.4423,0,0.00014416,0.00014416,0.00014416
12,198.497,0,19.3186,0,0,0,0,0,0,18.4423,0,0.000155942,0.000155942,0.000155942
13,215.026,1.02622,13.1352,0.67532,0,0,0,0,0,24.5053,0,0.000167428,0.000167428,0.000167428
14,231.367,0.86571,12.9717,0.61715,0,0,0,0,0,24.5053,0,0.000178616,0.000178616,0.000178616
15,247.698,1.79085,8.41954,1.25654,0,0,0,0,0,24.5053,0,0.000189508,0.000189508,0.000189508
16,264.386,3.5656,5.3132,2.29448,0,0,0,0,0,24.5053,0,0.000200103,0.000200103,0.000200103
17,280.3,0,17.5497,0,0,0,0,0,0,24.5053,0,0.0002104,0.0002104,0.0002104
18,296.871,0,17.6355,0,0,0,0,0,0,111.092,0,0.0002204,0.0002204,0.0002204
19,313.773,1.71624,8.27924,1.24185,0,0,0,0,0,111.092,0,0.000230104,0.000230104,0.000230104
20,330.343,0.89435,11.7951,0.55003,0,0,0,0,0,111.092,0,0.000239511,0.000239511,0.000239511
21,348.88,1.34608,13.6519,0.83542,0,0,0,0,0,111.092,0,0.00024862,0.00024862,0.00024862
22,365.413,0.73209,11.8632,0.54864,0,0,0,0,0,111.092,0,0.000257433,0.000257433,0.000257433
23,381.621,2.66334,3.73121,1.73819,0,0,0,0,0,111.092,0,0.000265948,0.000265948,0.000265948
24,398.054,2.48765,5.99435,2.02493,0,0,0,0,0,111.092,0,0.000274167,0.000274167,0.000274167
25,414.127,2.53705,4.06738,1.6699,0,0,0,0,0,111.092,0,0.000282088,0.000282088,0.000282088
26,430.517,1.91759,9.70796,1.53992,0,0,0,0,0,111.092,0,0.000289712,0.000289712,0.000289712
27,449.018,0.64218,11.959,0.5535,0,0,0,0,0,1191.63,0,0.00029704,0.00029704,0.00029704
28,465.183,1.61256,7.48128,1.15123,0,0,0,0,0,1191.63,0,0.000304071,0.000304071,0.000304071
29,481.803,1.5251,7.47621,1.13099,0,0,0,0,0,1191.63,0,0.000310804,0.000310804,0.000310804
30,497.906,0.79088,11.3527,0.58392,0,0,0,0,0,1191.63,0,0.000317241,0.000317241,0.000317241
31,514.083,0.98912,13.6741,1.31129,0,0,0,0,0,1191.63,0,0.00032338,0.00032338,0.00032338
32,531.487,1.7181,7.41197,1.11512,0,0,0,0,0,1191.63,0,0.000329223,0.000329223,0.000329223
33,548.085,1.77962,8.24108,1.34884,0,0,0,0,0,1191.63,0,0.000334768,0.000334768,0.000334768
34,564.296,2.55982,2.8136,1.43758,0,0,0,0,0,1191.63,0,0.00033665,0.00033665,0.00033665
35,580.588,1.28999,8.22783,0.9934,0,0,0,0,0,1191.63,0,0.0003317,0.0003317,0.0003317
36,597.875,1.77785,7.07154,1.29699,0,0,0,0,0,1191.63,0,0.00032675,0.00032675,0.00032675
37,614.096,0.95566,13.1527,0.68706,0,0,0,0,0,255.169,0,0.0003218,0.0003218,0.0003218
