epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.01841,5.12424,24.3077,2.1067,0.09091,0.04545,0.06818,0.03409,6.56435,15.8641,2.1351,0.091009,9e-06,9e-06
2,10.0003,3.92424,15.2398,1.57375,0.07792,0.07792,0.07235,0.01546,5.38528,13.2534,1.39505,0.081019,1.89967e-05,1.89967e-05
3,13.9491,2.41659,10.8398,1.07527,0.16883,0.12338,0.14242,0.05919,4.88887,11.1773,1.22998,0.071029,2.89801e-05,2.89801e-05
4,18.1446,1.80548,7.12319,0.88156,0.43398,0.44156,0.40821,0.24214,5.04231,9.03532,1.21286,0.0610389,3.89399e-05,3.89399e-05
5,22.3625,1.86217,5.80772,0.82702,0.39079,0.41919,0.36172,0.22586,4.63024,7.57996,1.11451,0.0510489,4.88659e-05,4.88659e-05
6,26.2902,1.36496,4.60499,0.7102,0.69573,0.68182,0.70136,0.46925,3.7759,5.84454,0.94656,0.0410587,5.87479e-05,5.87479e-05
7,30.8655,1.13291,4.81945,0.60646,0.48485,0.5,0.51273,0.37248,3.72294,6.86056,0.91845,0.0310686,6.85757e-05,6.85757e-05
8,34.8219,1.2273,4.45929,0.60764,0.76487,0.74242,0.76939,0.53989,3.45579,6.32911,0.87877,0.0210783,7.83392e-05,7.83392e-05
9,40.2617,1.14103,4.39475,0.58331,0.76186,0.74242,0.78159,0.54269,3.73766,6.9184,0.93594,0.011088,8.80285e-05,8.80285e-05
10,44.4022,0.84919,3.18722,0.54934,0.82708,0.85101,0.83128,0.64269,3.31227,54.0276,0.79744,0.00109763,9.76337e-05,9.76337e-05
11,48.5845,0.79302,4.67248,0.52233,0.85188,0.81818,0.83098,0.63698,3.24194,85.9111,0.78314,9.8298e-05,9.8298e-05,9.8298e-05
12,52.6088,1.20637,6.18577,0.59092,0.88835,0.81818,0.83866,0.64124,3.00422,88.0569,0.74214,9.7943e-05,9.7943e-05,9.7943e-05
13,56.5588,0.80236,4.39427,0.49983,0.88914,0.81818,0.84405,0.64338,2.91041,89.2909,0.72634,9.75553e-05,9.75553e-05,9.75553e-05
14,60.8079,0.94092,2.85344,0.53671,0.90909,0.81061,0.85666,0.61968,3.24204,6.95254,0.81217,9.71349e-05,9.71349e-05,9.71349e-05
15,64.6175,0.82238,2.97581,0.51392,0.88921,0.78788,0.8453,0.63891,3.4118,7.52021,0.86255,9.66823e-05,9.66823e-05,9.66823e-05
16,68.4789,0.93528,3.16274,0.52644,0.89965,0.78788,0.82985,0.67008,3.20513,6.95638,0.82551,9.61978e-05,9.61978e-05,9.61978e-05
17,72.9614,0.78313,2.43492,0.50587,0.89032,0.78788,0.82985,0.71992,2.78577,5.97822,0.71813,9.56816e-05,9.56816e-05,9.56816e-05
18,77.2019,0.68602,2.51057,0.4984,0.8524,0.81061,0.84138,0.71359,2.55817,6.73892,0.66615,9.51341e-05,9.51341e-05,9.51341e-05
19,81.2076,0.70597,2.27579,0.48792,0.88573,0.80872,0.84212,0.7058,2.63267,6.09489,0.65205,9.45558e-05,9.45558e-05,9.45558e-05
20,85.1339,0.69857,2.26302,0.50913,0.90385,0.78788,0.83371,0.72348,2.60149,4.89355,0.66543,9.39469e-05,9.39469e-05,9.39469e-05
21,89.2939,0.94429,2.49563,0.54233,0.90909,0.78788,0.8453,0.71019,2.8728,4.55504,0.7309,9.3308e-05,9.3308e-05,9.3308e-05
22,93.4358,0.68767,1.98384,0.49458,0.90909,0.78788,0.8453,0.72558,2.76997,3.81688,0.6971,9.26394e-05,9.26394e-05,9.26394e-05
