epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07888,3.72572,5.56149,3.12876,0,0,0,0,4.4656,5.65364,3.5346,0,0,0
2,9.7739,4.30341,5.34914,3.36078,0,0,0,0,4.4656,5.65364,3.5346,4.901e-06,4.901e-06,4.901e-06
3,14.6452,4.04699,5.11492,3.18207,0,0,0,0,4.24912,5.4171,3.46246,9.604e-06,9.604e-06,9.604e-06
4,21.5065,3.82743,5.02741,2.94619,0,0,0,0,4.24912,5.4171,3.46246,1.4109e-05,1.4109e-05,1.4109e-05
5,27.1035,3.82726,4.79352,3.0229,0,0,0,0,4.24912,5.4171,3.46246,1.8416e-05,1.8416e-05,1.8416e-05
6,32.6066,4.17513,4.96369,3.13949,0,0,0,0,4.24912,5.4171,3.46246,2.2525e-05,2.2525e-05,2.2525e-05
7,38.2393,4.28607,5.13549,3.1458,0,0,0,0,4.24912,5.4171,3.46246,2.6436e-05,2.6436e-05,2.6436e-05
8,43.8052,3.8455,5.78766,2.89767,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,3.0149e-05,3.0149e-05,3.0149e-05
9,49.0316,3.82792,4.95361,3.3034,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,3.3664e-05,3.3664e-05,3.3664e-05
10,54.5537,3.95209,4.8042,3.41803,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,3.6981e-05,3.6981e-05,3.6981e-05
11,60.0922,4.0964,4.47895,3.6013,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,4.01e-05,4.01e-05,4.01e-05
12,65.4535,3.50037,3.8316,2.92679,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,4.3021e-05,4.3021e-05,4.3021e-05
13,71.2758,3.55855,3.96079,2.82652,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,4.5744e-05,4.5744e-05,4.5744e-05
14,76.491,3.67724,4.53172,3.30491,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,4.8269e-05,4.8269e-05,4.8269e-05
15,83.0872,3.56495,3.9119,3.06777,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,5.0596e-05,5.0596e-05,5.0596e-05
16,88.7986,3.98774,4.32393,3.17872,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,5.2725e-05,5.2725e-05,5.2725e-05
17,98.2016,3.56705,4.08832,2.91265,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,5.4656e-05,5.4656e-05,5.4656e-05
18,104.792,3.53323,4.8183,2.74404,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,5.6389e-05,5.6389e-05,5.6389e-05
19,110.091,3.57136,3.923,2.70393,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,5.7924e-05,5.7924e-05,5.7924e-05
20,115.519,2.78447,4.19082,2.3565,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,5.9261e-05,5.9261e-05,5.9261e-05
21,122.151,4.06293,4.30375,3.2327,0.02273,0.25,0.24875,0.12437,3.76032,4.33185,3.31118,6.04e-05,6.04e-05,6.04e-05
