epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.014,2.34978,4.22467,2.58741,0.54658,0.03896,0.00359,0.00103,2.79892,7.72459,3.20141,0.09109,9e-05,9e-05
2,319.363,1.90301,3.48189,2.22464,0.00017,0.07792,0.00024,2e-05,3.91609,6.66379,3.5864,0.08119,0.000189988,0.000189988
3,473.628,1.69908,3.10631,2.07185,0.21246,0.20882,0.05752,0.02018,2.2299,4.31772,2.10586,0.0712899,0.000289929,0.000289929
4,629.534,1.75216,2.8657,1.99077,0.02308,0.34809,0.08841,0.05706,1.82369,25.359,1.80615,0.0613898,0.000389786,0.000389786
5,786.74,1.64081,2.85564,1.99677,0.74318,0.09091,0.08359,0.05385,1.78566,105.024,1.91068,0.0514895,0.000489521,0.000489521
6,943.889,1.62572,2.94629,2.03016,0.37473,0.28788,0.03651,0.01532,2.1801,547.127,3.51183,0.0415891,0.0005891,0.0005891
7,1100.54,1.75405,2.78063,2.07655,0.27437,0.24242,0.00427,0.00139,2.55443,485.187,2.59226,0.0316885,0.000688484,0.000688484
8,1256.98,1.70045,2.63852,2.05762,0.37707,0.33333,0.07594,0.02319,2.87236,85.1655,4.37926,0.0217876,0.000787638,0.000787638
9,1413.37,1.54522,2.86263,1.88623,0.19512,0.37879,0.11353,0.05163,2.53451,159.782,3.86258,0.0118865,0.000886526,0.000886526
10,1569.58,1.34754,2.74636,1.74212,0.5358,0.31818,0.2927,0.09773,2.86157,50.087,4.75863,0.00198511,0.000985111,0.000985111
11,1727.17,1.39196,2.68131,1.7984,0.20206,0.50649,0.25777,0.06155,3.35839,74.463,5.89077,0.000993906,0.000993906,0.000993906
12,1883.75,1.44825,2.57329,1.79141,0.09651,0.34091,0.00606,0.002,3.15447,81.48,3.91891,0.000992629,0.000992629,0.000992629
13,2170.95,1.47608,2.50598,1.93982,0.04908,0.69697,0.12073,0.06995,2.10214,44.0109,3.33919,0.000991232,0.000991232,0.000991232
14,2328.09,1.39109,2.58872,1.72674,0.19432,0.30519,0.10224,0.01185,3.31838,156.34,6.7711,0.000989715,0.000989715,0.000989715
15,2484.04,1.2278,2.50872,1.67202,0.37707,0.3658,0.03507,0.00683,3.51192,50.859,6.70737,0.000988079,0.000988079,0.000988079
16,2643.31,1.37408,2.59053,1.92702,0.32694,0.38312,0.13408,0.0296,3.73091,55.9591,5.16795,0.000986323,0.000986323,0.000986323
17,2820.16,1.18253,2.40705,1.70008,0.5615,0.31818,0.11779,0.02466,3.55821,100.473,7.06059,0.000984449,0.000984449,0.000984449
